,geoid,dperim,dpperim,darea,dparea
196,2507,710,53632,8357,727514
197,2502,715,27241,20417,727514
198,2503,620,28368,17131,727514
199,2504,894,49630,15649,727514
200,2509,326,13080,29549,727514
201,2609,770,47123,11550,705975
202,2606,497,17100,26110,705974
203,2604,1073,29015,37542,705974
204,2603,974,36495,20127,705974
205,2612,565,28858,12633,705974
206,2611,812,63194,11350,705974
207,2607,881,29008,24676,705974
208,2602,714,34449,23879,705975
209,2610,526,23688,22312,705974
210,2608,670,41093,15444,705975
211,2613,850,41683,14940,705974
212,2605,674,27880,21371,705975
213,2601,734,6878,74447,705974
214,2614,972,53676,13450,705974
215,26ZZ,52,0,54,0
216,2703,458,28338,11776,662990
217,2706,858,25487,21083,662990
218,2705,353,21954,11521,662991
219,2702,443,9808,16290,662991
220,2704,290,15009,12413,662990
221,2708,842,12684,59996,662991
222,2701,942,7439,45479,662991
223,2707,1335,12407,81219,662991
224,2804,492,7551,36325,741776
225,2802,1108,16406,55366,741862
226,2801,783,15126,38587,741837
227,2803,1202,21406,41500,741822
228,2908,933,11303,70208,748616
229,2903,1137,44033,37808,748615
230,2904,1390,18369,64169,748616
231,2902,764,47305,14231,748616
232,2905,854,25032,24472,748616
233,2906,1281,16842,68984,748616
234,2907,682,9413,45739,748616
235,2901,441,20434,17954,748616
236,3000,881,3420,132288,989415
237,3102,241,4022,15399,608781
238,3101,880,6441,47495,608780
239,3103,1684,3275,130458,608780
240,3202,652,2630,41038,675138
241,3203,272,21279,9690,675138
242,3201,228,38982,5955,675138
243,3204,607,25599,27855,675137
244,3301,672,26760,20915,658233
245,3302,912,30317,27922,658237
246,3407,722,36701,14958,732658
247,3412,673,39031,12031,732658
248,3405,708,40313,15192,732658
249,3411,596,46386,13037,732658
250,3403,577,18292,19115,732658
251,3410,711,63585,7582,732658
252,3406,602,41798,12754,732657
253,3402,462,15456,28683,732658
254,3401,371,17686,14951,732658
255,3404,696,38292,17061,732657
256,3409,528,39823,8873,732658
257,3408,612,55567,5351,732658
258,3501,668,14317,17339,686393
259,3503,1424,13436,78270,686393
260,3502,1169,10010,73000,686393
261,3619,1002,30644,38279,717708
262,3606,352,48652,4330,717707
263,3617,421,29387,12058,717708
264,3618,563,32242,17035,717707
265,3611,204,45391,6140,717708
266,3610,469,138806,2277,717707
267,3622,828,14974,29206,717708
268,3625,172,9247,10511,717707
269,3615,117,26657,2406,717708
270,3623,844,13359,38098,717707
271,3602,329,17205,12370,717708
272,3601,215,12041,16064,717707
273,3616,290,22965,7351,717707
274,3605,352,41120,6355,717708
275,3614,322,59071,3677,717708
276,3607,588,132837,2822,717708
277,3620,475,14917,17244,717708
278,3627,591,25534,20554,717707
279,3612,291,90579,2428,717707
280,3613,164,60153,1538,717707
281,3621,700,11277,41041,717707
282,3603,391,27200,11384,717707
283,3609,313,80072,2328,717708
284,3626,252,18566,9930,717707
285,3604,351,20260,11444,717708
286,3608,404,81760,3468,717708
287,3624,407,9797,19831,717707
288,3701,2257,101057,24578,733499
289,3702,1197,63926,20010,733499
290,3709,969,73496,12766,733498
291,3705,1396,51121,23257,733499
292,3704,1461,95190,13469,733498
293,3710,847,28102,23492,733499
294,3711,890,30763,38585,733499
295,3712,1726,114727,13597,733499
296,3703,1305,47213,28074,733499
297,3706,1652,60448,21881,733499
298,3708,899,45341,26449,733499
299,3713,1645,96146,15135,733498
300,3707,1044,42723,27694,733498
301,3800,908,4579,133769,672591
302,3911,816,63791,11058,721032
303,3904,1404,35570,35903,721032
304,3903,1048,76567,13084,721031
305,3906,1490,25532,45564,721032
306,3910,371,9942,16963,721032
307,3912,1259,48122,24446,721031
308,3901,800,65538,11050,721032
309,3914,594,42560,14333,721032
310,3907,1579,57202,36853,721031
311,3905,1077,28842,40030,721031
312,3915,1741,48410,26924,721031
313,3909,822,57119,14075,721032
314,3913,1371,65736,18966,721031
315,3916,1114,83575,13280,721031
316,3902,881,38763,19365,721031
317,3908,759,25886,23450,721032
318,4002,1353,14263,82198,750270
319,4003,1518,20446,99692,750270
320,4001,680,13916,21828,750270
321,4004,723,27139,43673,750270
322,4005,557,22621,21727,750271
323,4104,604,6172,49457,766214
324,4102,754,6384,80440,766215
325,4105,999,21512,27311,766214
326,4103,482,25727,18458,766215
327,4101,625,16961,20955,766216
328,4204,586,16633,22045,705687
329,4203,915,30347,29048,705688
330,4215,811,26478,24372,705687
331,4214,848,42402,20322,705688
332,4210,1494,31474,45327,705687
333,4206,1303,55084,16602,705688
334,4217,1244,35248,26261,705687
335,4213,902,76344,9721,705687
336,4211,1214,28080,33443,705688
337,4209,1323,24259,40903,705688
338,4218,1039,38773,21754,705688
339,4216,973,29651,17784,705688
340,4205,1152,23134,43154,705688
341,4202,552,40239,8954,705688
342,4212,1204,37690,23667,705688
343,4201,973,63431,10638,705688
344,4207,1829,109210,13815,705688
345,4208,397,22034,13735,705688
346,4402,432,16268,13727,526284
347,4401,540,22980,11454,526283
348,4505,933,25019,26768,660766
349,4507,534,10998,28369,660767
350,4506,1644,42970,35162,660766
351,4502,958,31953,23675,660766
352,4503,590,16511,28647,660767
353,4504,415,14586,17791,660766
354,4501,667,29722,21496,660766
355,4600,977,5207,88360,814180
356,4707,1264,30844,38898,705123
357,4706,865,22368,28596,705123
358,4709,363,27036,13348,705123
359,4701,623,26616,32166,705123
360,4704,1119,24975,30673,705123
361,4702,800,19276,21925,705123
362,4705,430,18365,14420,705123
363,4708,799,27474,30624,705122
364,4703,1067,28866,29466,705122
365,4835,1462,105957,12956,698488
366,4801,778,10446,32837,698488
367,4806,935,38472,18826,698498
368,4814,490,18513,27630,698472
369,4802,1117,82554,11434,698488
370,4834,1117,19228,29940,698487
371,4813,1142,7439,76101,698488
372,4827,870,16660,34286,698487
373,4836,865,26218,34165,698488
374,4803,463,20280,14623,698488
375,4808,653,43954,19111,698488
376,4816,300,11744,14089,698488
377,4821,1502,116176,20978,698488
378,4820,622,78044,8455,698488
379,4830,838,47650,14452,698487
380,4833,1424,83026,13111,698488
381,4817,809,36661,26198,698487
382,4828,1004,42623,24435,698488
383,4805,1073,43211,25589,698488
384,4811,1601,9223,63926,698488
385,4823,1531,62269,65914,698488
386,4812,912,36144,18509,698488
387,4818,1266,63518,15186,698488
388,4804,1175,21743,40247,698488
389,4826,470,24559,14805,698488
390,4832,958,51878,12488,698488
391,4831,583,20743,17468,698487
392,4824,725,49967,13216,698488
393,4807,649,65262,9870,698488
