,geoid,carea,cperim,cpolsbypop,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
29,0615,0.1597977033672897,2.5954533380969127,0.2980944885846505,23,125374,20.856460848639863,112748.77270129023,143,694696,140.85646084863987,682070.7727012901,30,168921,22.867684090778326,126443.0526828938,150,738243,142.86768409077834,695765.0526828937
30,0628,0.0556282616264995,1.9634871759095545,0.18132146291335094,61,215499,57.24096144557368,203398.4065017929,182,706872,178.24096144557362,694771.406501793,69,240343,59.54336194131535,211731.03548969812,190,731716,180.54336194131528,703104.0354896983
31,0647,0.05692615907348383,2.9333026729689435,0.0831396113689829,57,260140,53.43127763670697,240260.29410409497,157,688574,153.431277636707,668694.2941040951,73,336543,57.39744229498226,258642.0995132735,173,764977,157.3974422949823,687076.0995132737
32,0640,0.014745124380999909,0.9016610011488408,0.22791438275918635,66,310967,64.89536639668701,305918.8334754989,159,695514,157.89536639668702,690465.8334754986,73,338047,66.71307019119851,312887.26125100674,166,722594,159.7130701911985,697434.2612510064
33,0644,0.021602998639984057,1.0605153165432124,0.24137373564509385,53,227679,50.60335603248394,217523.61772770356,155,696876,152.6033560324839,686720.6177277035,56,238527,51.60124041964887,221475.73628922226,158,707724,153.60124041964883,690672.7362892224
34,0645,0.08375881122449984,1.759504885293207,0.33998473250086353,32,166676,29.32289029055449,152117.8617372357,133,688721,130.32289029055448,674162.8617372358,41,223437,31.886550545280077,169086.0427929163,142,745482,132.88655054528007,691131.0427929162
35,0609,0.3467065685245004,3.514933895912516,0.35264490215232336,26,144926,23.88623165577137,131932.9193268564,140,708571,137.88623165577135,695577.9193268564,31,168736,25.095692510339475,138493.9672809775,145,732381,139.09569251033946,702138.9672809775
36,0642,0.2400567034585007,5.155540614595154,0.11349462047410804,47,265712,41.812667262661094,238899.4887358452,133,737217,127.8126672626611,710404.4887358453,61,357497,46.013159666956476,268189.26508695463,147,829002,132.01315966695645,739694.2650869546
37,0608,8.521901993922446,19.65664134599572,0.27715822547470836,38,178280,35.570512963541724,164494.44023595427,130,700264,127.57051296354177,686478.4402359542,46,224965,38.10936300108165,178149.66500412926,138,746949,130.1093630010817,700133.6650041292
38,0653,0.034369923467000574,1.6287969654221708,0.16280004703758166,70,331009,65.35110081414919,307099.97364436096,151,712199,146.35110081414922,688289.9736443608,77,380536,67.04995174049468,317894.18056481646,158,761726,148.0499517404947,699084.1805648163
39,0605,0.4824858394646174,6.051947969389057,0.16554042450140008,37,183437,31.837919856930558,156723.3261522914,163,710543,157.8379198569305,683829.3261522915,41,204757,32.93756513163309,162292.3678876695,167,731863,158.93756513163308,689398.3678876696
40,0643,0.018237971262499892,0.8568682010063432,0.3121464059099571,54,250001,52.303755907587345,242962.4330794697,156,703473,154.30375590758732,696434.4330794696,57,264148,53.26845004850334,246855.5931372747,159,717620,155.2684500485033,700327.5931372746
41,0639,0.05190547646549997,1.7491643930184269,0.21318752612988867,55,273600,51.14229238163945,254528.31818457477,147,702216,143.14229238163944,683144.318184575,61,309151,52.43552582274708,262219.2891068936,153,737767,144.43552582274705,690835.2891068939
42,0604,3.4979935097340067,12.153403578095016,0.2976000664485773,52,220745,51.156971400165006,216494.4743792164,169,707397,168.15697140016496,703146.4743792166,53,224299,51.319153508854754,217070.86959349972,170,710951,168.3191535088547,703722.8695934998
43,0631,0.05584715571650045,2.84760643733755,0.08654679534212631,56,300047,51.14870468269756,274409.1815653509,132,711160,127.1487046826976,685522.181565351,66,369583,54.298240932298434,298605.5073514381,142,780696,130.29824093229846,709718.5073514379
44,0601,7.965441387488643,18.58945286251532,0.28965864535608027,37,141229,36.8086024650413,140495.92994764517,172,701726,171.8086024650413,700992.9299476453,41,157772,38.042332556007686,145832.4639502672,176,718269,173.04233255600772,706329.4639502671
45,0651,1.2761186125498305,8.189546891306287,0.23910087157319662,49,258742,47.2650066968928,246587.40786687264,141,703374,139.26500669689275,691219.4078668728,56,301225,49.657868430517595,259097.95225388446,148,745857,141.65786843051757,703729.9522538844
46,0611,0.13449168010614815,2.792145435878032,0.21678499125396272,41,204380,36.72472787235112,177665.69078503386,149,732066,144.7247278723512,705351.6907850339,46,238833,38.52342124705864,189002.97287226265,154,766519,146.5234212470587,716688.9728722628
47,0632,0.031957741601999795,1.7472529345460739,0.13154501287944784,50,221081,46.57875942461565,206034.47006168094,153,705132,149.57875942461558,690085.470061681,57,253797,48.748242703781074,216057.06417644615,160,737848,151.74824270378105,700108.0641764463
48,0602,3.580148955839907,16.63202293275352,0.16263754499683913,62,243830,57.96815961158764,226980.03060823586,153,672552,148.96815961158762,655702.030608236,70,284564,60.89922334383728,241661.72919647853,161,713286,151.89922334383724,670383.7291964786
49,0624,1.7719440473279389,11.094957334244691,0.18088751606375142,42,175576,39.02627836074418,166294.09850568848,146,701074,143.02627836074416,691792.0985056886,44,187801,39.42508032535136,168590.57104838328,148,713299,143.4250803253513,694088.5710483835
50,0621,1.7476426918610004,10.629298567793262,0.19438076942836702,54,312525,52.2640624219159,303666.84511195496,119,695451,117.26406242191591,686592.8451119547,59,338247,53.55863995053897,310705.2825150998,124,721173,118.55863995053896,693631.2825150997
51,0617,0.05022699269620879,1.600829235946676,0.24629581102198375,46,229109,43.629329376954786,216158.8552358847,141,705889,138.62932937695481,692938.855235885,48,237129,44.209835036567156,219702.5783590064,143,713909,139.20983503656714,696482.5783590068
52,0638,0.02598810635899999,1.2845805169264153,0.1979073109230922,54,254305,51.716877489365594,243819.0593682021,153,700196,150.71687748936557,689710.0593682022,65,309588,54.738484259004565,259101.4149815787,164,755479,153.73848425900457,704992.4149815791
