,geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1,cpolsby,rank_cpolsby,dpolsby_0.5,dpolsby_pro_0.5,dpop_polsby_0.5,dpop_polsby_pro_0.5,rank_dpolsby_0.5,rank_dpolsby_pro_0.5,rank_dpop_polsby_0.5,rank_dpop_polsby_pro_0.5,dpolsby_0.1,dpolsby_pro_0.1,dpop_polsby_0.1,dpop_polsby_pro_0.1,rank_dpolsby_0.1,rank_dpolsby_pro_0.1,rank_dpop_polsby_0.1,rank_dpop_polsby_pro_0.1
18,0501,5.0767174991469535,19.46387360674883,108,133044,105.270720172056,129726.06496513064,606,730176,603.2707201720561,726858.0649651311,116,145261,107.32778526048959,132117.22533386745,614,742393,605.3277852604897,729249.225333868,0.1683969842798575,377.0,0.051954732510288065,0.05443736047665235,4.125123611680117e-05,4.3191185467122455e-05,329.0,350.0,273.0,306.0,0.045630202140309155,0.052549219950984,3.5183238239253214e-05,4.1778908341764e-05,250.0,334.0,208.0,275.0
19,0503,1.4385851658104152,10.119580056126354,78,130133,72.70919205274163,121447.81662478682,455,737352,449.7091920527417,728666.8166247867,86,140967,74.73691655307042,124090.16559357107,463,748186,451.7369165530705,731309.1655935709,0.17653078839644418,363.0,0.07478632478632478,0.08506543497706942,4.35411583753745e-05,4.940257307640736e-05,247.0,262.0,257.0,269.0,0.06260140616549487,0.0808751745603292,3.765083937978493e-05,4.749263744982516e-05,187.0,233.0,191.0,246.0
20,0502,1.302303999674997,6.976111849077794,49,81986,47.712695114483424,79260.81889204006,493,727184,491.7126951144833,724458.8188920398,51,84779,48.31224933233305,80253.57594302122,495,729977,492.31224933233307,725451.5759430212,0.3362756092649012,181.0,0.2053311120366514,0.21599491311312852,0.00010818446911614139,0.00011531786507440367,58.0,83.0,83.0,109.0,0.1903114186851211,0.21092406170006686,0.00010156231637663335,0.00011263662859872195,29.0,58.0,46.0,85.0
21,0645,0.08468970234599997,1.2447278952562326,32,70364,25.74247158613033,57105.21375877729,437,705769,430.74247158613036,692510.2137587775,55,125500,32.024634186565564,73372.64420506931,460,760905,437.0246341865656,708777.6442050694,0.6868970092730591,10.0,0.4267578125,0.6500057696476574,0.0001425481346935434,0.0002123609502751964,17.0,9.0,57.0,34.0,0.15206611570247933,0.426125538291526,4.831066173552801e-05,0.0001316563073305409,47.0,16.0,133.0,67.0
22,0623,2.5600765948354907,11.341701175306493,77,131803,69.56865021994244,120108.41398407385,391,694863,383.5686502199423,683168.413984074,102,176502,75.94864346909914,130641.56430419818,416,739562,389.94864346909895,693701.5643041985,0.2500958135997017,294.0,0.065947039973014,0.07925304363297689,3.999895047618782e-05,4.735664361082761e-05,279.0,273.0,281.0,284.0,0.03998462129950019,0.06760321830247017,2.3739705468240033e-05,4.0645262229691664e-05,285.0,277.0,289.0,282.0
23,0639,0.05087962334699992,1.1865850615309308,56,103144,47.12895062881138,87519.04136959184,412,684572,403.12895062881137,668947.0413695917,90,168365,57.21375651009612,106742.67420666914,446,749793,413.21375651009623,688170.6742066692,0.4541047018583394,85.0,0.13137755102040816,0.18149658099612878,6.434742799394107e-05,8.733465987727392e-05,125.0,117.0,171.0,151.0,0.05506172839506173,0.12623327353091476,2.6450735469909908e-05,6.039764481279146e-05,207.0,136.0,269.0,195.0
24,0632,0.033427338405998715,0.9798121959876752,44,79633,37.92311080169037,69166.35571326442,461,753468,454.9231108016903,743001.3557132643,64,111332,43.47891404285592,78030.43245917324,481,785167,460.47891404285576,751865.4324591731,0.4375482791970467,95.0,0.2381198347107438,0.3163225043528573,0.00011881702064162232,0.00015531014260611865,46.0,38.0,72.0,73.0,0.117431640625,0.24358602669491097,6.334641131447425e-05,0.00012348439848868813,68.0,46.0,96.0,72.0
25,0611,0.13830711452560934,2.1922946984556413,57,107789,49.94412499078752,90784.07093740963,487,740040,479.9441249907874,723035.0709374094,74,139017,55.425997503396005,100273.51144178264,504,771268,485.425997503396,732524.5114417823,0.3616233937273275,161.0,0.14989227454601417,0.19240744041685523,6.369514180482582e-05,8.772836923018337e-05,101.0,107.0,175.0,150.0,0.09203798392987582,0.15801415606745964,3.990887527155953e-05,7.285338147079907e-05,99.0,96.0,176.0,150.0
26,0620,1.2818618403344153,6.102432761933151,48,72550,41.04859255586835,60889.94397873077,429,686867,422.0485925558682,675206.9439787307,65,93163,46.18151413625157,66480.22650369321,446,707480,427.1815141362515,680797.2265036929,0.4325587258993316,100.0,0.18619791666666666,0.2504758819354989,0.0001304961857622372,0.0001821150137891341,69.0,65.0,62.0,60.0,0.1055621301775148,0.20029777040859725,8.151306753356758e-05,0.0001540397470872839,78.0,64.0,64.0,50.0
27,0612,0.013202740000790176,0.6145969404858949,29,49047,25.318245850880732,43811.01823846148,573,793431,569.3182458508808,788195.0182384616,35,58002,27.24895843113447,46391.66903362754,579,802386,571.2489584311346,790775.6690336276,0.43923116469712725,92.0,0.6813317479191439,0.8881531840534027,0.0003298255289583608,0.0004106454277264473,4.0,4.0,10.0,8.0,0.4726530612244898,0.7693529235617371,0.00023850495419043045,0.000367428892239061,4.0,3.0,7.0,8.0
28,0624,1.7753812032523348,10.394173153847788,61,76372,53.882338353152406,68107.68558843053,486,712162,478.88233835315236,703897.6855884306,66,83299,55.132039437988254,70167.87051385835,491,719089,480.1320394379882,705957.8705138584,0.20650072788930246,333.0,0.1306100510615426,0.16494378292135967,0.00012209853942220076,0.0001517460140817762,126.0,136.0,69.0,80.0,0.11271808999081727,0.15796198090364383,0.00010363419298373615,0.00014338449506622286,76.0,97.0,44.0,59.0
29,0602,3.5828714923592004,13.983619067385176,87,114845,77.47870154401274,102558.21466474592,542,690466,532.4787015440123,678179.214664746,103,136400,82.32975866161522,109547.34496825449,558,712021,537.329758661615,685168.3449682546,0.23025121265781767,316.0,0.07160787422380764,0.08870284995410328,5.2350172092416643e-05,6.44768142249432e-05,257.0,248.0,216.0,216.0,0.052596851729663496,0.07927334954460913,3.827049345980857e-05,5.709440844613581e-05,218.0,240.0,188.0,206.0
30,0606,0.048597519730500416,1.2080368382813536,52,94944,43.856984725817945,80410.01092017931,460,704298,451.8569847258179,689764.0109201791,84,148146,52.64718150376967,95154.94517026523,492,757500,460.6471815037696,704508.9451702648,0.4184693098690509,110.0,0.17011834319526628,0.23492187625929886,7.813064432553164e-05,0.00010667933227789462,83.0,70.0,135.0,117.0,0.06972789115646258,0.16619508132840388,3.451459466598862e-05,7.780791629894345e-05,151.0,88.0,217.0,138.0
31,0617,0.05096882370416436,0.9924251549116692,46,78596,38.1443313224427,64088.17178780271,392,681062,384.14433132244284,666554.1717878025,71,119065,44.46065221636801,74232.53258106532,417,721531,390.46065221636826,676698.5325810653,0.6503077762334313,15.0,0.18525519848771266,0.2640185349347012,0.00011025181849339257,0.00016228548777680925,70.0,59.0,79.0,69.0,0.08272168220591153,0.1975266129328085,5.0896364536648394e-05,0.00012280235052078653,115.0,65.0,125.0,75.0
32,0614,0.0702215736913706,1.6423543510786591,50,82191,41.287231882500656,69071.39873445944,380,595681,371.28723188250086,582561.3987344594,64,105212,45.25205299368904,75720.37255573626,394,618702,375.2520529936892,589210.3725557361,0.3271498241271724,194.0,0.152,0.21781033439958836,8.817901008767795e-05,0.00012210830498386073,98.0,81.0,115.0,97.0,0.09619140625,0.18325106311521136,5.5892169487234725e-05,0.00010276492259288996,94.0,78.0,112.0,97.0
33,0625,0.4348398766524992,4.123450955422412,43,91296,38.690219146609,82935.60518378322,321,673362,316.69021914660914,665001.6051837831,66,128670,44.36832414763688,92350.00494756324,344,710736,322.36832414763677,674416.0049475632,0.3213790488540976,200.0,0.1736073553272039,0.21155937303681413,8.078767396873732e-05,9.668089396312941e-05,77.0,86.0,132.0,135.0,0.07897153351698806,0.16375942746376584,4.292929059561111e-05,7.907769870867779e-05,125.0,91.0,159.0,135.0
34,0627,0.1792481821949996,2.1300030639312117,71,103469,62.01350904130296,91435.78063548627,505,715616,496.0135090413029,703582.7806354865,95,138946,69.77193668785792,102961.36028593636,529,751093,503.771936687858,715108.3602859367,0.4964827545554692,57.0,0.10017853600476095,0.12897956012431502,6.68435548885681e-05,8.415556652975958e-05,177.0,163.0,161.0,158.0,0.05861495844875346,0.10348381116309448,3.890465934993917e-05,6.745642359666928e-05,199.0,177.0,182.0,165.0
35,0618,0.18887163762767312,2.154477838373189,63,93180,52.7344158724903,78459.19272381054,532,790005,521.7344158724907,775284.1927238107,105,155350,65.50485802730512,97096.49117500326,574,852175,534.5048580273053,793921.4911750035,0.5113197261201217,48.0,0.13403880070546736,0.18761225611049673,9.09880646988768e-05,0.00012594277510845697,120.0,111.0,111.0,94.0,0.05206349206349206,0.12456746813223028,3.531069569021393e-05,8.421132225863313e-05,222.0,141.0,205.0,125.0
36,0604,3.496738916986248,10.64963555563304,73,113479,70.69639909529627,110617.44026609472,481,702525,478.69639909529633,699663.4402660945,82,130975,72.76124480212873,114328.24845815847,490,720021,480.76124480212866,703374.2484581582,0.38743921780867596,141.0,0.09026083693000563,0.09577795792679361,5.4554525596458114e-05,5.717971313206609e-05,203.0,231.0,212.0,237.0,0.07287328970850684,0.0908090662901673,4.197283933713849e-05,5.3812028567089435e-05,140.0,208.0,162.0,218.0
37,0635,0.04414482594249921,1.1931496935882129,49,111142,41.40687624017601,93285.52325808356,359,684439,351.406876240176,666582.5232580836,77,167944,50.79504258488213,111765.92469035533,387,741241,360.79504258488214,685062.9246903553,0.38967254208798385,138.0,0.1495210329029571,0.2049582096676079,5.5408747454205825e-05,7.659940904336322e-05,103.0,92.0,205.0,174.0,0.06527238994771463,0.1398356495450641,2.6280307818057657e-05,5.4841791480244746e-05,174.0,118.0,272.0,213.0
38,0610,0.4873828066180009,3.7381992952343666,28,54866,26.060733012787992,51283.73164123485,393,681172,391.06073301278786,677589.7316412346,40,84695,28.895741364427145,57452.47321874829,405,711001,393.8957413644271,683758.4732187479,0.43828354528348346,93.0,0.5012755102040817,0.5757990659066313,0.00022628209419741702,0.00025763661122017923,12.0,15.0,21.0,25.0,0.253125,0.4717518397966636,9.911848762436151e-05,0.00020715015531874682,18.0,14.0,52.0,26.0
39,0619,0.23541180043850046,2.7216718459295723,44,72313,36.369893869079625,60151.20686628512,338,614955,330.3698938690797,602793.2068662852,62,104843,41.50109003879047,70092.20105993614,356,647485,335.5010900387905,612734.2010599361,0.3993618461053633,131.0,0.17458677685950413,0.2497562680263404,0.00011760088190776497,0.00016660178823488508,74.0,66.0,74.0,65.0,0.09261186264308012,0.19479370950400995,5.89048199518281e-05,0.00012471903042186983,98.0,71.0,107.0,70.0
40,0621,1.7421131810545063,8.956231982733714,75,140583,66.19660311229532,126034.10417192885,408,722491,399.1966031122953,707942.1041719287,96,178315,71.34853534266409,135327.24318839912,429,760223,404.34853534266404,717235.2431883989,0.27292012566252644,267.0,0.07253333333333334,0.0910993815818575,3.655668679752313e-05,4.4567839828594765e-05,254.0,244.0,296.0,300.0,0.046549479166666664,0.07943021714311128,2.390921123156822e-05,3.916437066106765e-05,247.0,239.0,285.0,292.0
41,0649,0.14757961221914098,2.495376463626032,60,166351,47.44202766035875,140312.4079977113,409,749113,396.4420276603588,723074.4079977116,86,218039,54.93287567896483,154233.9135465969,435,800801,403.9328756789648,736995.9135465974,0.29782700890221203,227.0,0.11361111111111111,0.17613805808444127,2.707051399870474e-05,3.6727454962109676e-05,150.0,124.0,356.0,340.0,0.05881557598702001,0.13385806182637427,1.6844427062996532e-05,3.0981705593272795e-05,197.0,131.0,351.0,342.0
42,0626,0.2437722711801109,3.238919153274586,42,75447,36.38524802925308,65856.00179747626,366,717434,360.38524802925315,707843.0017974761,52,92491,39.74441512762422,72180.14522247262,376,734478,363.7444151276243,714167.1452224724,0.2920074637285317,236.0,0.20748299319727892,0.2722176784109089,0.00012603698433362275,0.00016320979583069598,56.0,52.0,67.0,67.0,0.1390532544378698,0.2302735801941256,8.585781695377588e-05,0.00013707692828355216,56.0,49.0,59.0,64.0
43,0648,0.036506765356273764,1.2089026573534638,57,102333,46.949043018641596,81370.746485084,431,651079,420.94904301864165,630116.746485084,95,161861,58.89056530606549,100492.28799959764,469,710607,432.8905653060655,649238.2879995975,0.31390667735109584,208.0,0.13265620190827948,0.1909747885978439,6.217306469245879e-05,9.516657106235386e-05,122.0,108.0,179.0,138.0,0.051966759002770084,0.12482071734127839,2.7123457093482227e-05,6.428929380827188e-05,223.0,140.0,265.0,180.0
44,0634,0.01370502462949958,0.4789450141797286,55,83288,43.691500543728615,66452.09066054858,517,827792,505.69150054372847,810956.0906605484,81,119828,52.57651666673018,78796.70641967491,543,864332,514.5765166667302,823300.7064196746,0.7507898127170473,4.0,0.1709090909090909,0.26490596246375375,0.00011933184573356902,0.00018364539475817973,82.0,58.0,71.0,57.0,0.0827617741197988,0.18615141579095063,6.019549229851657e-05,0.0001325996439691256,113.0,76.0,103.0,65.0
45,0613,0.025517602489145787,0.8104721915606704,44,54868,38.714877180793884,48644.744716548375,556,661869,550.714877180794,655645.7447165482,60,77557,43.10914713232388,54996.54043116063,572,684558,555.1091471323241,661997.5404311605,0.4881727074383791,62.0,0.2871900826446281,0.36742697485921627,0.00021985370082814592,0.00027707503049148293,34.0,29.0,22.0,20.0,0.15888888888888889,0.29870295702221145,0.00011380680908776472,0.0002188696956156247,42.0,33.0,37.0,23.0
46,0636,1.5089922785180063,6.833457789871608,29,51115,26.534873786339087,47705.01254129949,341,693717,338.5348737863391,690307.0125412996,35,66509,27.84271736390757,50905.12386114892,347,709111,339.8427173639075,693507.123861149,0.40608397283018344,124.0,0.4054696789536266,0.4808054271780822,0.000265512888278564,0.000303329225709297,18.0,19.0,14.0,17.0,0.283265306122449,0.4383840353449042,0.0001603073320455984,0.00026762576985859225,14.0,15.0,24.0,15.0
47,0609,0.35065645869900025,2.8986332607909584,34,67889,29.012720396937343,58377.26193396905,401,718505,396.0127203969374,708993.2619339691,50,106593,32.96483561566585,68755.33079444307,417,757209,399.96483561566595,719371.3307944431,0.5244512972586008,44.0,0.3468858131487889,0.47047032016182994,0.00015589456391868392,0.00020804374596061556,21.0,20.0,48.0,36.0,0.1668,0.3680611524222522,6.664359194047253e-05,0.00015217397111497294,37.0,20.0,83.0,51.0
48,0603,1.700826611209994,9.429397509451569,71,100615,63.792753775305464,89272.64239831072,502,748119,494.79275377530564,736776.6423983106,100,160053,72.04845607983837,107634.66804809826,531,807557,503.0484560798385,755138.668048098,0.24038204051177872,305.0,0.09958341598889109,0.12158517685241452,7.390013327295198e-05,9.244832986201633e-05,179.0,174.0,144.0,144.0,0.0531,0.09690818569973693,3.152430700005862e-05,6.518120095686997e-05,216.0,194.0,232.0,175.0
49,0630,0.03236239774700084,1.0545073210122515,51,82967,41.658718312696756,66302.89657411705,452,736781,442.65871831269686,720116.896574117,85,135197,51.75066784626361,81992.6267813271,486,789011,452.75066784626364,735806.6267813273,0.36572222798396475,158.0,0.17377931564782775,0.2550687265394821,0.00010703545124696247,0.00016380908991903294,76.0,64.0,86.0,66.0,0.06726643598615917,0.16905467380196498,4.3166709873524485e-05,0.00010944957884033863,165.0,87.0,156.0,89.0
50,0608,8.526410876562466,17.478664335672814,61,81348,56.23964442086074,73026.22514702339,385,694410,380.23964442086077,686088.2251470233,75,104371,60.3859694044145,80312.32750007891,399,717433,384.38596940441437,693374.3275000788,0.35071927654064156,173.0,0.10346680999731254,0.12021876518217835,0.00010493544448704907,0.00012865369454014401,168.0,179.0,89.0,90.0,0.07093333333333333,0.10541330787060967,6.58599899464622e-05,0.00010749872994222089,147.0,169.0,85.0,91.0
51,0646,0.018667636735501446,0.6178721772855283,48,89322,39.7884688773285,74190.24187678205,380,722846,371.7884688773285,707714.2418767819,75,147409,46.87861503535692,89111.81559134502,407,780933,378.8786150353569,722635.8155913448,0.6144717571416931,22.0,0.16493055555555555,0.23484507754324965,9.060014747652374e-05,0.0001285773176510873,89.0,71.0,112.0,91.0,0.07235555555555556,0.1724052743899748,3.593898233243328e-05,9.100157272726926e-05,141.0,83.0,203.0,116.0
52,0643,0.01644195222499973,0.6076819522214156,51,65489,42.67552444203567,55946.389767467575,438,637285,429.6755244420356,627742.3897674675,90,127343,53.335604542652256,71256.53374414773,477,699139,440.3356045426523,643052.5337441479,0.5595134996886224,33.0,0.16839677047289503,0.23592984476064502,0.00014859253047181718,0.0002005567683656048,85.0,69.0,51.0,43.0,0.058888888888888886,0.15479230197685778,4.311350936671151e-05,0.00012664763055304724,196.0,100.0,157.0,69.0
53,0641,0.08366698285050117,1.510312053289787,28,64630,23.89506705616828,52591.42631249977,353,686115,348.8950670561684,674076.4263124998,50,137423,29.605626848856808,69942.73851497799,375,758908,354.6056268488568,691427.7385149777,0.4609253512209803,83.0,0.4502551020408163,0.6110522138435469,0.0001642587835410312,0.00024371330584617226,14.0,12.0,44.0,26.0,0.15,0.4045731908389642,4.018558368127605e-05,0.00014133884350450018,50.0,17.0,173.0,60.0
54,0628,0.05396690149700119,1.2692886746097864,63,80903,48.464894065723406,63113.28966700994,467,630974,452.46489406572334,613184.2896670097,97,125150,58.48213400425984,76405.6704729303,501,675221,462.4821340042598,626476.6704729303,0.42093645360045046,107.0,0.11766187956664147,0.19263285136067554,9.640114930983705e-05,0.00015393925631471177,145.0,104.0,100.0,76.0,0.05324689127431183,0.13522236805188215,4.3110616441253314e-05,0.00010731334214443315,214.0,129.0,158.0,92.0
55,0653,0.031627603417499865,0.8866005710703695,71,160525,56.418542036057346,132042.42423890447,440,703193,425.41854203605726,674710.424238904,97,223666,64.30406963011046,150411.93891308937,466,766334,433.3040696301106,693079.9389130893,0.5056152159653531,51.0,0.08728426899424717,0.13365114906779385,2.7289098045729243e-05,3.8698171206827206e-05,210.0,156.0,354.0,326.0,0.04952704857051759,0.10478903712128514,1.5318567422721807e-05,3.063505815864917e-05,238.0,174.0,367.0,348.0
56,0601,7.965291091987694,16.364713441672276,61,76861,58.40635072905342,73365.04845708956,566,706732,563.4063507290533,703236.0484570898,68,84059,60.517473647750975,75563.50365008914,573,713930,565.517473647751,705434.5036500895,0.3737616221638852,152.0,0.15210964794410106,0.16515875253931642,0.00011963071406311497,0.00013065399915530428,97.0,135.0,70.0,89.0,0.12391868512110726,0.15441320917859674,0.0001010385705744334,0.00012354709109993494,64.0,101.0,48.0,71.0
