,geoid,carea,cperim,cpolsbypop,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
10,0401,14.112755891602113,27.454395601060835,0.2352869927758016,78,119524,73.87678057903734,113387.56526308945,478,714425,473.87678057903724,708288.5652630894,95,151346,79.01340704202582,123684.13793694605,495,746247,479.0134070420257,718585.1379369461
11,0405,0.07389150255250211,1.2890567977483351,0.5588049634842617,40,65372,38.55716505171356,63143.893048836486,423,709243,421.55716505171347,707014.8930488366,45,72117,39.200104379930636,64022.66320336763,428,715988,422.20010437993056,707893.6632033676
12,0409,0.04195876882000023,1.7170881858530291,0.17883289212763306,98,143955,93.34712018505509,137866.53258249132,508,713662,503.34712018505525,707573.5325824909,106,155644,95.38086423834145,140977.79778857608,516,725351,505.3808642383416,710684.7977885761
13,0403,3.894633961979231,13.781971382318403,0.2576640466208794,91,160091,85.11523270094085,150469.94901565494,422,700829,416.1152327009409,691207.949015655,109,189137,90.0054757240726,158369.36507736807,440,729875,421.0054757240728,699107.3650773681
14,0408,0.1364471765050001,2.681537657810671,0.238455100698619,62,118305,58.320806792329385,111134.10977543662,481,711841,477.3208067923295,704670.1097754366,75,140671,62.327664340373666,118020.77645769475,494,734207,481.3276643403738,711556.7764576945
15,0407,0.05160221026149976,1.180205030464896,0.4655466921391406,73,107393,69.07938418464846,101297.66672275207,447,714709,443.07938418464835,708613.666722752,81,120974,71.448957164046,105458.23548235383,455,728290,445.448957164046,712774.2354823537
16,0404,8.503601205698738,27.429319525742496,0.14203084850919775,98,156953,94.45670995582809,149167.22824428233,402,700206,398.4567099558281,692420.2282442824,116,191821,100.25925207138252,159379.13473216404,420,735074,404.25925207138255,702632.1347321641
17,0502,1.304445545631998,7.767642398424338,0.27167981380442413,53,88252,52.76158698748497,87878.44852774339,494,729192,493.7615869874849,728818.4485277432,53,88252,52.76158698748497,87878.44852774339,494,729192,493.7615869874849,728818.4485277432
18,0503,1.4351097429461654,10.993004355645873,0.1492320746968806,76,127292,72.61734343255445,121277.56138062256,450,731114,446.6173434325545,725099.5613806227,83,136491,74.53613012729052,123677.07733216324,457,740313,448.5361301272905,727499.0773321632
19,0501,5.080813977727924,21.81250518202132,0.13419368025976816,112,139000,111.05892692028496,138102.01974943365,606,729077,605.0589269202851,728179.0197494336,114,140334,111.82989713356693,138628.74050679838,608,730411,605.829897133567,728705.7405067985
