,geoid,carea,cperim,cpolsbypop,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
28,0648,0.036506765356273764,1.2089026573534638,0.31390667735109584,40,206031,31.743596819933067,162513.41364712318,143,658892,134.7435968199331,615374.4136471234,57,282387,36.83251920997047,186187.08682052637,160,735248,139.83251920997049,639048.0868205265
29,0617,0.05096882370416436,0.9924251549116692,0.6503077762334313,27,137353,22.70291449368122,114273.11340794367,137,678972,132.70291449368125,655892.1134079436,41,201077,27.114142452856697,134910.72231983865,151,742696,137.11414245285678,676529.7223198385
30,0651,1.2765956472333453,7.363964500448739,0.2958283906229496,26,161938,22.59227873584549,142044.12110132258,132,664722,128.5922787358455,644828.1211013225,42,229570,27.891124295899182,165371.71996867112,148,732354,133.89112429589917,668155.7199686711
31,0626,0.2437722711801109,3.238919153274586,0.2920074637285317,31,142977,28.508599252223608,130704.63145363945,149,721889,146.50859925222358,709616.6314536394,40,188836,31.054360335308147,144637.17696222494,158,767748,149.05436033530813,723549.1769622249
32,0653,0.031627603417499865,0.8866005710703695,0.5056152159653531,39,206539,31.42493201483397,168714.61757947362,145,697015,137.42493201483396,659190.617579474,59,311997,38.27557987539947,202763.39604471653,165,802473,144.2755798753994,693239.396044717
33,0601,7.965291091987694,16.364713441672276,0.3737616221638852,37,139009,35.650902879537924,132959.7665411118,173,705182,171.6509028795379,699132.7665411117,40,156853,36.6062260045256,138604.64533979393,176,723026,172.6062260045256,704777.6453397939
34,0614,0.0702215736913706,1.6423543510786591,0.3271498241271724,37,173251,31.054745916300103,145368.06568231527,131,602666,125.05474591630009,574783.0656823153,43,200662,33.082876094609325,155166.17209922563,137,630077,127.08287609460932,584581.1720992257
35,0630,0.03236239774700084,1.0545073210122515,0.36572222798396475,36,137254,29.91979768280301,114096.84267738153,184,743702,177.91979768280297,720544.8426773818,52,196708,34.17545346214381,129383.23333534658,200,803156,182.17545346214374,735831.2333353469
36,0610,0.4873828066180009,3.7381992952343666,0.43828354528348346,18,102254,17.30390965862577,98478.51823001278,122,664275,121.30390965862577,660499.5182300126,26,159542,19.75124841595196,116248.86253794751,130,721563,123.75124841595196,678269.8625379473
37,0612,0.013202740000790176,0.6145969404858949,0.43923116469712725,23,85800,19.39640915105131,74268.59587130121,191,787420,187.39640915105133,775888.5958713013,27,106361,20.555072992358415,80207.13596441624,195,807981,188.5550729923584,781827.1359644162
38,0616,0.7583088874884992,5.0824381599943536,0.3689026744888398,33,164376,30.544212009499745,152484.69865945374,150,764619,147.5442120094997,752727.6986594538,43,204082,33.080778800042395,163222.73995427653,160,804325,150.08077880004234,763465.7399542766
39,0649,0.14757961221914098,2.495376463626032,0.29782700890221203,38,265385,30.96629496711193,219181.5145555068,127,754864,119.96629496711195,708660.514555507,52,340698,35.075073968995184,240767.13632292987,141,830177,124.07507396899523,730246.13632293
40,0627,0.1792481821949996,2.1300030639312117,0.4964827545554692,43,168121,37.67252905029304,149758.1886714594,166,719230,160.672529050293,700867.1886714596,60,229215,42.48469612400272,168185.73185862694,183,780324,165.48469612400268,719294.731858627
41,0632,0.033427338405998715,0.9798121959876752,0.4375482791970467,26,107817,24.06880059062212,101327.07507193957,162,732915,160.06880059062215,726425.0750719395,43,174547,29.37467133068769,121953.62406508252,179,799645,165.3746713306877,747051.6240650825
42,0635,0.04414482594249921,1.1931496935882129,0.38967254208798385,35,186218,29.16582953971817,153874.6734659287,131,690264,125.16582953971815,657920.6734659289,54,288724,34.70560074052576,182236.1452663095,150,792770,130.70560074052577,686282.1452663096
43,0608,8.526410876562466,17.478664335672814,0.35071927654064156,37,169763,34.480884566863764,155208.7352102949,129,693022,126.48088456686372,678467.735210295,46,223887,37.15912983654319,170654.46719018096,138,747146,129.15912983654317,693913.467190181
44,0625,0.4348398766524992,4.123450955422412,0.3213790488540976,32,131874,29.529984244887327,120148.67459209052,153,667030,150.52998424488734,655304.6745920903,43,182537,32.30299547923083,131797.25667669688,164,717693,153.30299547923084,666953.2566766966
45,0650,0.7041545929669971,4.682916066593855,0.40350148065014235,35,191391,28.916870439206523,157691.24712597413,131,679897,124.91687043920652,646197.2471259743,56,298699,34.76211924745399,188069.26557124767,152,787205,130.762119247454,676575.2655712473
46,0609,0.35065645869900025,2.8986332607909584,0.5244512972586008,22,130856,17.949632138444603,101832.53383182279,145,737598,140.94963213844463,708574.5338318227,31,171780,19.935437567733906,111009.77988853696,154,778522,142.93543756773389,717751.779888537
47,0647,0.05644848910665004,2.480717254638283,0.11526770632831401,40,185032,34.145949717583626,157466.07822280243,152,674427,146.1459497175836,646861.0782228023,66,299819,40.61289435010042,184924.32762490172,178,789214,152.6128943501004,674319.3276249014
48,0606,0.048597519730500416,1.2080368382813536,0.4184693098690509,36,182585,29.18758566548961,152045.13167895973,155,707191,148.1875856654896,676651.1316789597,54,265373,34.40711387017059,173030.8805794453,173,789979,153.4071138701706,697636.8805794454
49,0615,0.16276880696015664,2.105844053331728,0.4612417708874915,19,113382,16.662249497175335,97315.45777954631,151,745192,148.6622494971753,729125.4577795463,35,188108,21.090272490507807,118430.72002170465,167,819918,153.09027249050774,750240.7200217043
50,0624,1.7753812032523348,10.394173153847788,0.20650072788930246,43,183051,39.51220507920983,169252.34824407508,148,713413,144.51220507920988,699614.3482440751,46,192358,40.08052767350985,171106.66734678356,151,722720,145.0805276735099,701468.6673467836
51,0646,0.018667636735501446,0.6178721772855283,0.6144717571416931,27,152847,23.513727367416006,133423.47047073106,121,713812,117.513727367416,694388.4704707309,42,243443,27.70930896318843,159147.11524822545,136,804408,121.70930896318843,720112.1152482253
52,0621,1.7421131810545063,8.956231982733714,0.27292012566252644,44,255002,40.86223066681439,238675.5463090603,122,709128,118.8622306668144,692801.5463090604,58,323693,44.53077065058278,256498.12000842413,136,777819,122.5307706505828,710624.120008424
53,0622,0.2999720210659967,3.6971149503073537,0.275781230832302,35,167790,30.45154109861105,145637.88808463403,131,646124,126.45154109861107,623971.888084634,48,231367,34.346221431560586,164870.44063511994,144,709701,130.34622143156065,643204.4406351198
