,geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
0,0101,1.523722105324312,13.223036701012305,76,109291,69.74056498895064,100914.79326344037,432,675726,425.74056498895067,667349.7932634405,82,118630,71.64552605799949,104111.49183592091,438,685065,427.6455260579994,670546.4918359212
1,0107,2.5540215367385644,15.389205231954955,166,214360,157.9831350542633,205257.18937818808,609,677547,600.9831350542634,668444.1893781886,193,258782,165.56506338839614,218517.64670415426,636,721969,608.5650633883962,681704.6467041547
2,0106,1.0625527745054983,9.846727183571234,122,181717,116.84099185525129,171072.96583664548,434,688049,428.8409918552514,677404.9658366452,138,201423,121.45702554469828,176462.70427984142,450,707755,433.45702554469824,682794.7042798412
3,0102,2.528299937211127,11.998659877510415,113,139566,111.10699525058176,137449.6579525841,520,681874,518.1069952505818,679757.6579525842,119,146340,112.6288737461052,139098.49708859756,526,688648,519.6288737461053,681406.4970885976
4,0103,1.9340586637781243,10.171525854617007,101,152836,100.4211927303363,151767.6051754214,467,684416,466.42119273033614,683347.6051754215,102,154120,100.61402074880891,152015.19635114018,468,685700,466.6140207488088,683595.1963511403
5,0105,0.983198680902492,6.836931876259742,64,96614,63.22083942572272,95932.12333678904,426,683019,425.22083942572283,682337.1233367891,64,96614,63.22083942572272,95932.12333678904,426,683019,425.22083942572283,682337.1233367891
6,0104,2.3059816817433783,12.389666699875706,112,153922,111.34065028962208,152709.41451199536,545,683524,544.340650289622,682311.4145119956,118,159572,112.40198830395909,153727.9240062598,551,689174,545.4019883039589,683329.9240062601
7,0200,282.0733820980162,436.7314854100171,127,149136,105.28313754295445,121287.66170039785,504,668997,482.2831375429545,641148.661700398,156,189073,113.84039545030878,132933.90203867565,533,708934,490.84039545030873,652794.9020386757
8,0409,0.041695071818,1.853132700306332,137,199558,134.51450442500584,196221.90664061854,507,712460,504.5145044250057,709123.9066406188,139,201462,135.0780800595237,196763.02810805687,509,714364,505.0780800595237,709665.028108057
9,0402,1.9492456660089832,7.2155173762948275,66,110329,60.36721245530518,101409.18635203053,505,714126,499.36721245530515,705206.1863520305,78,129890,63.233795147997256,105962.18316731756,517,733687,502.2337951479973,709759.1831673173
10,0403,3.89413838548834,14.058958377905155,111,196479,107.41366825543281,190858.3235164134,426,707734,422.4136682554328,702113.3235164133,126,220731,111.33038931150196,197198.3350410116,441,731986,426.33038931150185,708453.3350410116
11,0401,14.111646865389517,29.1661413434026,82,124792,77.62128889220003,118175.98064298494,479,715992,474.6212888922001,709375.980642985,96,152702,81.85669549836905,127443.11718135193,493,743902,478.85669549836916,718643.117181352
12,0404,8.502803826011116,29.291391569683288,109,172641,106.05240059832258,165641.31998131907,402,700206,399.05240059832255,693206.319981319,125,203326,111.04730468095232,174039.291487018,418,730891,404.0473046809522,701604.2914870182
13,0406,0.1583684472094999,2.474218723300392,66,98752,64.01432966259813,95589.76996947912,511,710883,509.01432966259813,707720.7699694791,74,109759,65.97091170405615,97917.03467737934,519,721890,510.9709117040561,710048.0346773792
14,0407,0.051599034866000065,1.2553100840562317,80,117467,79.51883756623678,116921.06147813845,443,707804,442.51883756623687,707258.0614781383,83,123192,80.69237881029312,119115.35230975875,446,713529,443.6923788102932,709452.3523097588
15,0408,0.13636276902999964,2.881252177710365,74,138371,71.49871607192172,133459.59356507365,480,709723,477.4987160719217,704811.5935650738,82,153382,73.93411979849702,138124.92532079216,488,724734,479.93411979849685,709476.9253207924
16,0405,0.07384901485699981,1.3362331050861365,78,121401,77.3311271891003,120439.86580155644,424,710445,423.33112718910036,709483.8658015566,79,122966,77.45680579502702,120636.55281983178,425,712010,423.4568057950271,709680.5528198319
17,0502,1.3046380683134982,8.148447249102839,54,89565,53.97663146826066,89523.59850916258,494,729192,493.97663146826073,729150.5985091623,54,89565,53.97663146826066,89523.59850916258,494,729192,493.97663146826073,729150.5985091623
18,0501,5.081393119255043,22.252513394080992,115,142720,114.36757015378555,142269.8607004864,606,729077,605.3675701537854,728626.8607004867,117,144054,115.1375972689632,142796.0035648491,608,730411,606.1375972689631,729153.0035648494
19,0503,1.4353207291453898,11.328738754950109,79,132243,75.89169561228644,126631.57174215575,450,731114,446.8916956122867,725502.5717421558,86,141442,77.80729808687636,129031.6793513094,457,740313,448.8072980868766,727902.6793513094
20,0504,5.764096614512041,16.02956560422484,106,138883,103.39259005755171,135748.6960919654,597,726535,594.3925900575517,723400.696091965,114,152489,106.38616634643509,141044.30302513787,605,740141,597.3861663464351,728696.3030251374
21,0645,0.08375881122449984,1.759504885293207,58,110920,54.398178315765584,104279.96505620054,426,686652,422.3981783157657,680011.9650562007,70,147968,57.80132297141796,116744.20016040519,438,723700,425.801322971418,692476.2001604054
22,0602,3.580148955839907,16.63202293275352,92,121535,84.362131941663,111579.83690586938,540,687597,532.3621319416629,677641.8369058691,107,141589,89.1037561709642,118339.6317346384,555,707651,537.1037561709644,684401.631734638
23,0635,0.042736559005499504,1.5677220430792542,75,163367,73.63853095332222,159824.8137691959,364,702054,362.6385309533223,698511.8137691957,83,185737,75.64560707851442,166020.5252519974,372,724424,364.6456070785145,704707.5252519974
24,0646,0.018314500553000303,0.8961654370596804,70,138047,64.47807594038638,125674.28941147176,373,706276,367.47807594038653,693903.2894114717,82,168231,68.25236745752846,134769.4401661745,385,736460,371.2523674575285,702998.4401661747
