,geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
25,0615,0.15949428790705664,2.305853373667213,19,110349,16.578110607777823,93696.28192961897,142,694701,139.57811060777783,678048.2819296189,28,159882,19.067201238499887,107386.73880787588,151,744234,142.0672012384999,691738.7388078759
26,0620,1.2766755363940772,6.500722792515005,45,194910,38.636321474826175,165709.97583033267,151,708901,144.63632147482625,679700.9758303326,47,204884,39.34030217018329,169208.2799841803,153,718875,145.34030217018338,683199.2799841803
27,0640,0.015208563208000184,0.7399683263258081,50,232693,45.52087958427797,212191.1501392125,160,693625,155.52087958427802,673123.1501392124,74,339984,52.498521696236246,244633.44338986656,184,800916,162.49852169623634,705565.4433898663
28,0629,0.02316208012999973,0.9235503346322668,38,141368,32.37828678986115,120565.34065748838,175,697695,169.37828678986114,676892.3406574883,47,164590,34.9432086487052,128066.84251348689,184,720917,171.94320864870517,684393.8425134869
29,0605,0.4815889913681666,5.205690725236303,36,177221,30.912738576100427,151550.35384524893,162,704327,156.9127385761004,678656.3538452488,44,223521,32.86514086109329,162583.53017738546,170,750627,158.86514086109332,689689.5301773852
30,0636,1.5080598463519843,7.2049653073399345,20,88479,18.83712812496209,81330.68915559835,167,682675,165.8371281249621,675526.6891555983,25,115673,20.23905227234053,89042.69348492949,172,709869,167.23905227234056,683238.6934849294
31,0639,0.05145195856200005,1.3232242059589947,47,240420,40.50953286010707,206491.65833568206,143,688402,136.50953286010702,654473.6583356825,63,301397,44.0570320282224,219977.73130818317,159,749379,140.05703202822238,667959.7313081833
32,0635,0.04260408287299924,1.349980908776676,38,215401,34.36460743376223,191406.4045769829,131,720770,127.36460743376223,696775.404576983,47,256753,36.61472646835772,200649.29319756007,140,762122,129.61472646835776,706018.2931975601
33,0616,0.7568916634050017,5.60419952354285,38,181483,37.01956139290111,177144.2470868236,139,704810,138.0195613929011,700471.2470868237,43,202228,37.859923166466615,180712.14141936,144,725555,138.8599231664666,704039.1414193602
34,0645,0.08440668564049995,1.5293081259201668,23,126762,19.865736126379414,109848.63001112881,135,696648,131.86573612637943,679734.630011129,33,187551,22.79004973727275,128197.5789526194,145,757437,134.79004973727274,698083.5789526192
