,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Unnamed: 0.1.1.1.1,Unnamed: 0.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1,Unnamed: 0.1.1.1.1.1.1.1,geoid,c_area,c_perim,perim (g) 0.5,w_perim (g) 0.5,pro_perim (g) 0.5,pro_w_perim (g) 0.5,area (g) 0.5,w_area (g) 0.5,pro_area (g) 0.5,pro_w_area (g) 0.5,perim (g) 0.1,w_perim (g) 0.1,pro_perim (g) 0.1,pro_w_perim (g) 0.1,area (g) 0.1,w_area (g) 0.1,pro_area (g) 0.1,pro_w_area (g) 0.1,c_a/p^2,rank_c_a/p^2,a/p^2 (g) 0.5,pro_a/p^2 (g) 0.5,w_a/p^2 (g) 0.5,pro_w_a/p^2 (g) 0.5,rank_a/p^2 (g) 0.5,rank_pro_a/p^2 (g) 0.5,rank_w_a/p^2 (g) 0.5,rank_pro_w_a/p^2 (g) 0.5,a/p^2 (g) 0.1,pro_a/p^2 (g) 0.1,w_a/p^2 (g) 0.1,pro_w_a/p^2 (g) 0.1,rank_a/p^2 (g) 0.1,rank_pro_a/p^2 (g) 0.1,rank_w_a/p^2 (g) 0.1,rank_pro_w_a/p^2 (g) 0.1
10,10,10,10,10,10,10,10,10,0401,14.111805126475641,29.514449465704928,86,131976,81.62925359348853,125378.6535237382,479,715992,474.62925359348856,709394.6535237381,100,159886,85.855430745159,134634.15363053698,493,743902,478.85543074515886,718650.1536305369,0.2035743520330344,252.0,0.06476473769605191,0.07122998477270646,4.110723322727053e-05,4.512744109264482e-05,178.0,167.0,171.0,165.0,0.0493,0.06496341909732523,2.910012477995121e-05,3.9646699007743045e-05,207.0,180.0,220.0,178.0
11,11,11,11,11,11,11,11,11,0404,8.501934375554905,29.715470944949704,108,171546,105.38365748584982,164918.19014901234,402,700206,399.3836574858498,693578.1901490124,124,202231,110.39945867032013,173335.758179287,418,730891,404.3994586703202,701995.7581792871,0.12099359403183052,374.0,0.03446502057613169,0.03596199325775138,2.3793845433755305e-05,2.5501064393238644e-05,312.0,313.0,288.0,288.0,0.02718522372528616,0.033180022622158495,1.7871341566683983e-05,2.336458970828779e-05,326.0,318.0,305.0,292.0
12,12,12,12,12,12,12,12,12,0402,1.9492618880559929,7.227858895930992,68,112507,62.43425453841598,103680.87967311592,505,714126,499.4342545384159,705299.8796731159,80,132068,65.30484515127978,108210.51380083254,517,733687,502.30484515127984,709829.5138008327,0.4688789377141754,21.0,0.10921280276816607,0.12812458290039794,5.6417749276477626e-05,6.561097071347441e-05,98.0,80.0,127.0,112.0,0.08078125,0.11778135852672075,4.206448942720407e-05,6.0619888679786535e-05,116.0,84.0,147.0,119.0
13,13,13,13,13,13,13,13,13,0409,0.04170022587199978,1.869100083865462,137,199558,134.6885008839464,196463.2599183885,507,712460,504.6885008839464,709365.2599183886,139,201462,135.28941083280463,197040.73061986122,509,714364,505.2894108328047,709942.7306198613,0.1499972018269467,335.0,0.027012627204432843,0.027820336030262623,1.7890488580590936e-05,1.8378379861800485e-05,355.0,360.0,343.0,347.0,0.026344392112209517,0.027606578598614987,1.760083526838276e-05,1.828568770261256e-05,331.0,350.0,311.0,342.0
14,14,14,14,14,14,14,14,14,0408,0.13629616697549918,2.9055905296204423,74,138371,71.457534548385,133333.5611537216,480,709723,477.45753454838507,704685.5611537215,82,153382,73.89501494008405,138003.31469731734,488,724734,479.89501494008414,709355.3146973173,0.20287320199602546,255.0,0.08765522279035792,0.09350583122093233,3.7067962969558805e-05,3.963842735815245e-05,122.0,116.0,196.0,189.0,0.0725758477096966,0.0878852426270106,3.0805612162202007e-05,3.724644187881397e-05,129.0,120.0,204.0,198.0
15,15,15,15,15,15,15,15,15,0405,0.07384066429249958,1.3408594746936362,78,121401,77.36581119014978,120490.06295223461,424,710445,423.3658111901498,709534.0629522345,78,121401,77.36581119014978,120490.06295223461,424,710445,423.3658111901498,709534.0629522345,0.5161060247734547,11.0,0.06969099276791585,0.07073227336104068,4.820431701155555e-05,4.8873201292137185e-05,164.0,169.0,147.0,154.0,0.06969099276791585,0.07073227336104068,4.820431701155555e-05,4.8873201292137185e-05,136.0,160.0,123.0,147.0
16,16,16,16,16,16,16,16,16,0406,0.1584389137999994,2.4996692174937456,66,98752,64.0548397518168,95655.43413349347,511,710883,509.0548397518168,707786.4341334935,74,109759,66.01225416364643,97984.05331539024,519,721890,511.01225416364645,710115.0533153901,0.31864465377088474,109.0,0.11730945821854913,0.12406825463274447,7.289644153067876e-05,7.735402923005179e-05,86.0,82.0,87.0,86.0,0.0947772096420745,0.1172687209782318,5.992261293990011e-05,7.39635788613261e-05,90.0,86.0,99.0,87.0
17,17,17,17,17,17,17,17,17,0504,5.763872186612015,16.09590108831516,113,148754,110.49549926077029,145709.54744036886,597,726535,594.4954992607703,723490.547440369,121,162360,113.4867887855877,151001.5722440322,605,740141,597.4867887855878,728782.5722440325,0.2795719635316124,141.0,0.04675385699741562,0.04869219963733763,3.283365535992241e-05,3.4076646001447645e-05,248.0,252.0,226.0,229.0,0.04132231404958678,0.046391422775146914,2.807736690661717e-05,3.196208043522552e-05,245.0,253.0,226.0,230.0
18,18,18,18,18,18,18,18,18,0502,1.3046486824919992,8.253771586240495,54,89565,53.99921529229263,89563.76869425668,494,729192,493.9992152922928,729190.7686942569,54,89565,53.99921529229263,89563.76869425668,494,729192,493.9992152922928,729190.7686942569,0.2406570295417481,191.0,0.16941015089163236,0.16941480549628368,9.0900282906861e-05,9.090262878635964e-05,49.0,53.0,72.0,75.0,0.16941015089163236,0.16941480549628368,9.0900282906861e-05,9.090262878635964e-05,42.0,49.0,59.0,73.0
19,19,19,19,19,19,19,19,19,0501,5.081486888477988,22.54734508908666,116,143474,115.46155691523556,143140.13051193964,606,729077,605.4615569152354,728743.1305119399,118,144808,116.23153638988579,143666.29837989828,608,730411,606.2315363898856,729269.2983798984,0.12560584506332312,366.0,0.04503567181926278,0.04541630048590043,3.5418240695860906e-05,3.556736208671458e-05,264.0,269.0,206.0,218.0,0.043665613329503014,0.04487356439647035,3.483230338141476e-05,3.5332805787932486e-05,233.0,261.0,176.0,208.0
20,20,20,20,20,20,20,20,20,0503,1.4353759360269958,11.353741354143205,84,140383,80.95271864649708,134890.49561464266,450,731114,446.952718646497,725621.4956146426,91,149582,82.86760762589748,137289.20896349696,457,740313,448.8676076258975,728020.2089634971,0.13992571414110633,343.0,0.06377551020408162,0.06820225068189054,3.709847538578432e-05,3.9879291956064646e-05,183.0,178.0,194.0,187.0,0.05518657167008816,0.06536551147152732,3.308694765118298e-05,3.862519007178268e-05,190.0,177.0,186.0,188.0
21,21,21,21,21,21,21,21,21,0634,0.012133765503000136,0.7610407241379638,81,112260,78.95811135068097,108899.02281272157,434,703232,431.958111350681,699871.0228127216,86,119825,80.75366344182116,111502.06319705027,439,710797,433.75366344182123,702474.0631970502,0.2632629039944598,161.0,0.0661484529797287,0.06928642132419463,5.580184378295925e-05,5.90160375962342e-05,174.0,175.0,129.0,128.0,0.059356408869659275,0.06651486114998538,4.950518762387721e-05,5.650208664925863e-05,166.5,174.0,122.0,127.0
22,22,22,22,22,22,22,22,22,0621,1.7476752405984937,10.722318740836329,96,178796,93.77000691099572,172848.5363728306,390,703021,387.7700069109958,697073.5363728305,105,194434,96.131055849746,176713.69209042983,399,718659,390.1310558497458,700938.6920904297,0.1910263031484241,271.0,0.042317708333333336,0.044100784829902345,2.1991391032619614e-05,2.3331742928816754e-05,273.0,275.0,303.0,302.0,0.03619047619047619,0.042216584908270766,1.9009839369528696e-05,2.244603482737181e-05,276.0,273.0,294.0,302.0
23,23,23,23,23,23,23,23,23,0653,0.03439566139950034,1.6806162460824898,110,199236,106.67096832019966,192021.59366389824,443,699332,439.6709683201997,692117.5936638984,126,247671,110.56831171900544,202421.55130480832,459,747767,443.56831171900535,702517.5513048086,0.15302994216753513,330.0,0.036611570247933885,0.038639839602128134,1.7617641698904907e-05,1.877066892212744e-05,301.0,298.0,346.0,341.0,0.028911564625850338,0.036282663093407504,1.2190344525330708e-05,1.7145244437660318e-05,315.0,303.0,368.0,349.0
24,24,24,24,24,24,24,24,24,0641,0.08034386107500052,2.3603691203435906,41,97720,37.89718459384337,88898.79254570071,350,684706,346.8971845938433,675884.7925457007,58,153492,42.76463537221708,103640.97955622166,367,740478,351.764635372217,690626.9795562215,0.1812185762819612,289.0,0.2082093991671624,0.2415387869321419,7.170298189636525e-05,8.552261079671845e-05,39.0,31.0,90.0,81.0,0.10909631391200952,0.1923457650495414,3.1429731430949574e-05,6.429549172590708e-05,75.0,43.0,200.0,109.0
25,25,25,25,25,25,25,25,25,0624,2.1225953151605053,12.078981477266721,20,25963,19.158294529585767,24962.044918909625,485,703683,484.1582945295857,702682.0449189096,25,30112,20.118063980781468,25832.040030243006,490,707832,485.1180639807814,703552.040030243,0.1828169397346213,284.0,1.2125,1.319087744399208,0.001043920226907959,0.0011277128672243038,1.0,1.0,1.0,1.0,0.784,1.1986022164461911,0.0007806403384149406,0.0010543354683744607,3.0,1.0,1.0,1.0
26,26,26,26,26,26,26,26,26,0608,8.521353143197437,19.785992358923192,72,97201,68.26680067663044,89319.0412932131,389,700750,385.26680067663045,692868.0412932131,83,123051,71.2626367332018,95747.5089458773,400,726600,388.26263673320193,699296.5089458773,0.2735286070016665,146.0,0.07503858024691358,0.08266896230838199,7.416886626977472e-05,8.684852041074264e-05,141.0,137.0,86.0,80.0,0.05806357961968355,0.07645428390947008,4.798716558965526e-05,7.627924618587238e-05,175.0,140.0,124.0,83.0
27,27,27,27,27,27,27,27,27,0639,0.05192086208149967,1.7989734010692229,88,167961,83.5736620841272,157749.7654145543,416,696185,411.5736620841272,685973.7654145545,103,198512,88.27305026671726,167167.94587777526,431,726736,416.2730502667171,695391.9458777753,0.20160545297931085,257.0,0.05371900826446281,0.05892623718708785,2.467787490567305e-05,2.7565765832513075e-05,222.0,212.0,283.0,271.0,0.04062588368366482,0.05342223182807143,1.8441793061112974e-05,2.4884197774045968e-05,249.0,224.0,299.0,279.0
28,28,28,28,28,28,28,28,28,0633,0.12070561636950022,2.852489688978675,139,198819,136.57392724212428,195278.74049992234,515,699632,512.5739272421242,696091.7404999224,158,229321,142.14722758108226,203514.0240276055,534,730134,518.1472275810826,704327.0240276054,0.1864185714633204,279.0,0.026654935044769942,0.02748026494820716,1.7699210522051253e-05,1.8253937113218482e-05,358.0,366.0,345.0,350.0,0.0213908027559686,0.025643446326321675,1.3884010030150262e-05,1.7005353678645504e-05,366.0,366.0,354.0,353.0
29,29,29,29,29,29,29,29,29,0623,2.5603971559754903,12.868841162500038,104,175953,101.82965432364058,173446.15703339365,394,693630,391.8296543236405,691123.1570333934,119,208537,106.7579259509722,183253.30392061465,409,726214,396.7579259509722,700930.3039206145,0.1942845738722784,268.0,0.03642751479289941,0.03778755236789424,2.240446183901112e-05,2.297344268167552e-05,302.0,304.0,300.0,304.0,0.028882141091730814,0.03481170988428063,1.669930412102823e-05,2.0872343327946225e-05,316.0,308.0,323.0,315.0
30,30,30,30,30,30,30,30,30,0606,0.04804657043349976,1.7439071596986937,78,131448,74.20459877803295,127166.29280418606,463,698464,459.20459877803285,694182.2928041858,88,147871,77.0566431096032,131759.66385628056,473,714887,462.0566431096032,698775.6638562804,0.1985297226085094,259.0,0.07610124917817225,0.08339587818582941,4.0423699935788415e-05,4.292689834592882e-05,139.0,136.0,174.0,175.0,0.06107954545454545,0.07781710100193555,3.2694250053827615e-05,4.025064230584226e-05,162.0,135.0,189.0,175.0
31,31,31,31,31,31,31,31,31,0642,0.24003190050499865,5.227632362919669,73,213724,64.04424836531075,187682.5925192136,309,744134,300.04424836531064,718092.5925192138,89,255702,68.77409509180185,199575.5573538664,325,786112,304.77409509180177,729985.5573538665,0.11037450070023826,385.0,0.05798461249765435,0.07315180386457526,1.6290880604636728e-05,2.038602061584623e-05,205.0,160.0,358.0,325.0,0.041030172957959854,0.06443595668456592,1.2023092157139462e-05,1.8327345461392226e-05,248.0,181.0,370.0,339.0
32,32,32,32,32,32,32,32,32,0619,0.2423398676925009,3.8019635591956034,59,100657,56.522180505728855,97129.94572927237,396,699528,393.52218050572884,696000.9457292723,68,117983,59.82067094950147,102776.28018326133,405,716854,396.8206709495013,701647.2801832614,0.21067782715042752,238.0,0.11376041367423155,0.1231775043182878,6.904260001882706e-05,7.377403502571833e-05,92.0,85.0,98.0,94.0,0.08758650519031141,0.11088983251626393,5.149817550970786e-05,6.64252283330171e-05,102.0,96.0,117.0,105.0
33,33,33,33,33,33,33,33,33,0613,0.03865087859150023,1.1545955343217431,44,52837,42.68485398082921,51510.138958148644,586,704118,584.6848539808292,702791.1389581487,46,56270,43.06161778276015,52176.64877542283,588,707551,585.0616177827602,703457.6487754228,0.3643422094790917,73.0,0.3026859504132232,0.3209033446276246,0.00025221397364312575,0.0002648749173313837,14.0,15.0,11.0,11.0,0.277882797731569,0.31551566335668896,0.00022346212214212946,0.0002583958848580438,12.0,13.0,11.0,11.0
34,34,34,34,34,34,34,34,34,0651,1.2812858205969977,8.536431988371689,84,193546,81.1270159590123,185370.25127178425,389,707329,386.1270159590124,699153.2512717842,91,218930,82.96488876356875,190393.29931914114,396,732713,387.96488876356887,704176.2993191412,0.220954634330131,215.0,0.05513038548752835,0.0586677165359556,1.8882220453010085e-05,2.0346621414938164e-05,217.0,215.0,329.0,326.0,0.04782031155657529,0.05636425262961778,1.528703791989613e-05,1.9425762922760192e-05,211.0,214.0,341.0,324.0
35,35,35,35,35,35,35,35,35,0626,0.3167456853074994,4.664221953657952,39,61618,36.294709289185036,57332.385191659385,362,707463,359.29470928918505,703177.3851916593,49,77963,38.61876660713192,61198.78694926605,372,723808,361.61876660713193,707043.786949266,0.1829625287786349,282.0,0.23800131492439186,0.2727496348291523,0.00018633246772955056,0.0002139266423880272,28.0,24.0,25.0,20.0,0.1549354435651812,0.2424678502371498,0.00011908204775745112,0.0001887820433754909,47.0,27.0,39.0,23.0
36,36,36,36,36,36,36,36,36,0603,1.7136152566579843,11.9168803476226,67,93015,63.66033467050718,87754.73709666236,483,711596,479.6603346705072,706335.7370966624,83,116408,68.05746502181391,93595.80734347447,499,734989,484.0574650218138,712176.8073434746,0.15163450104086967,333.0,0.10759634662508354,0.11835755124753232,8.224841119515241e-05,9.172126610713323e-05,99.0,96.0,78.0,73.0,0.07243431557555523,0.10450700093247947,5.4239438377457876e-05,8.129709680044216e-05,131.0,101.0,112.0,79.0
37,37,37,37,37,37,37,37,37,0611,0.14041263389149933,2.8325471036481367,54,105700,51.85093047883873,98746.38500275902,473,715281,470.85093047883873,708327.3850027589,66,128821,55.61272292383749,105318.23771051822,485,738402,474.6127229238377,714899.237710518,0.21991850205479746,218.0,0.1622085048010974,0.17513394250281852,6.402162812407977e-05,7.264264041121832e-05,53.0,51.0,109.0,96.0,0.11134067952249772,0.15345853818747435,4.449585251904477e-05,6.445218827793285e-05,72.0,58.0,138.0,108.0
38,38,38,38,38,38,38,38,38,0625,0.4332615416570021,5.007195985235798,58,124561,55.86095091837119,119051.37967077846,335,698436,332.8609509183712,692926.3796707785,67,141602,58.52433299853747,123422.9984715688,344,715477,335.5243329985374,697297.9984715689,0.21715549532951256,227.0,0.09958382877526754,0.10667095929617222,4.5015537910154104e-05,4.888979651828642e-05,104.0,104.0,159.0,153.0,0.07663176654043216,0.09796051873387666,3.568263376252366e-05,4.577477649640794e-05,118.0,107.0,172.0,156.0
39,39,39,39,39,39,39,39,39,0612,0.031971201100499565,1.0774474266609242,39,60380,36.79133607151796,57737.57482192692,507,703097,504.791336071518,700454.5748219269,44,67968,38.266739689425776,60369.63323993329,512,710685,506.26673968942566,703086.6332399333,0.3460801097267353,87.0,0.3333333333333333,0.37292437747551016,0.0001928541671763934,0.00021011782662873148,12.0,9.0,22.0,21.0,0.2644628099173554,0.3457295271626798,0.00015383960909321235,0.00019291756275187241,13.0,9.0,27.0,22.0
40,40,40,40,40,40,40,40,40,0650,0.7016539275399974,6.330950126069193,71,150290,65.83839696281399,139241.56206733015,360,684079,354.83839696281404,673030.56206733,90,205793,71.47847799580867,154894.93815475612,379,739582,360.4784779958087,688683.9381547562,0.2199859984973076,217.0,0.07141440190438406,0.08186007013065155,3.0286290916143532e-05,3.471338878479528e-05,152.0,138.0,238.0,224.0,0.046790123456790116,0.07055515460835134,1.746325260987533e-05,2.870420368223057e-05,217.0,161.0,312.0,251.0
41,41,41,41,41,41,41,41,41,0629,0.02349099864699973,1.183235056333521,65,93544,61.75995254175898,88385.05895051721,420,704036,416.7599525417589,698877.0589505172,72,101209,63.39393944318754,90512.81483638004,427,711701,418.39393944318743,701004.8148363802,0.21084790363065808,237.0,0.09940828402366864,0.10926273635393703,8.045684409875093e-05,8.946292078149384e-05,105.0,102.0,79.0,76.0,0.08236882716049382,0.10410939044527937,6.947991979157562e-05,8.556592678710936e-05,114.0,102.0,79.0,76.0
42,42,42,42,42,42,42,42,42,0622,0.3044812314315009,4.719326187101474,86,142931,80.98507906676657,134091.14980191132,426,710506,420.98507906676656,701666.1498019112,92,149911,82.76450592613233,136209.30594586025,432,717486,422.7645059261323,703784.3059458601,0.17179495266935704,301.0,0.057598702001081664,0.06418841951805945,3.4778823400606844e-05,3.9023866386682776e-05,208.0,190.0,209.0,196.0,0.05103969754253308,0.06171777551155351,3.192614111470217e-05,3.7933770996295e-05,203.0,189.0,195.0,193.0
43,43,43,43,43,43,43,43,43,0601,7.96486508327059,18.75609459749765,64,81770,61.9494468940665,78344.12222289298,566,707125,563.9494468940665,703699.1222228929,71,88820,63.8925519955528,80235.24737626367,573,714175,565.8925519955527,705590.2473762635,0.28451388032672403,136.0,0.13818359375,0.1469485512106559,0.0001057567743897406,0.00011465002961200464,71.0,67.0,61.0,59.0,0.11366792303114462,0.13862243008676645,9.052803752225696e-05,0.00010960293334443163,68.0,70.0,60.0,55.0
44,44,44,44,44,44,44,44,44,0602,3.9796856387689705,16.592511953521768,50,54893,49.01645705040257,53320.58148579575,553,697602,552.0164570504026,696029.5814857957,57,64942,50.990728240229714,56519.112831422986,560,707651,553.9907282402298,699228.1128314228,0.1816495613734437,288.0,0.2212,0.22975670357957,0.00023151214790023285,0.00024481495485737735,33.0,35.0,15.0,14.0,0.17236072637734687,0.21306890170630727,0.00016779066915920696,0.0002188911528588916,40.0,37.0,21.0,16.0
45,45,45,45,45,45,45,45,45,0632,0.03195253737450015,1.8124070669436123,76,136074,70.87404457163568,126963.88308704332,429,702142,423.87404457163575,693031.8830870433,86,156390,73.91050563491744,133836.79642165048,439,722458,426.9105056349175,699904.7964216504,0.12223729244088186,372.0,0.07427285318559558,0.08438444320691105,3.792055187494156e-05,4.299251207375629e-05,144.0,133.0,189.0,174.0,0.059356408869659275,0.0781491926133341,2.953892221706763e-05,3.9074002909957315e-05,166.5,134.0,215.0,184.0
46,46,46,46,46,46,46,46,46,0631,0.055831449971500316,2.8919326448193328,93,197415,88.80723877884104,186325.03677498046,392,708239,387.807238778841,697149.0367749807,108,228361,93.62119623406687,196112.65810586206,407,739185,392.6211962340669,706936.658105862,0.08389043057333248,407.0,0.04532315874667592,0.049172147672034164,1.8172703534007274e-05,2.0080901248013e-05,262.0,251.0,340.0,331.0,0.03489368998628258,0.04479456979220122,1.4174549766737814e-05,1.838100487539645e-05,285.0,262.0,351.0,338.0
47,47,47,47,47,47,47,47,47,0617,0.05110564436749997,1.6267271359590143,77,136167,72.73290621935197,128097.86045794965,404,706698,399.73290621935206,698628.8604579496,81,142072,73.32163250570034,129032.33064769812,408,712603,400.3216325057004,699563.3306476981,0.2426885628216799,190.0,0.06813965255523698,0.07556279586238017,3.811449093796476e-05,4.257579541585549e-05,169.0,153.0,187.0,177.0,0.06218564243255601,0.0744637334720622,3.5304548183890004e-05,4.2017475275702225e-05,160.0,145.0,175.0,169.0
48,48,48,48,48,48,48,48,48,0636,1.509598814392996,7.58083630743678,31,63666,29.08417555215677,60472.79700783482,340,691390,338.08417555215675,688196.7970078348,39,83969,31.08756321898918,65165.798620897185,348,711693,340.0875632189892,692889.7986208971,0.3300936515965094,97.0,0.3537981269510926,0.3996789988031181,0.00017057208728906556,0.00018818826339578413,8.0,7.0,28.0,25.0,0.2287968441814596,0.3518984771797159,0.00010093800852423016,0.0001631641426494489,24.0,8.0,50.0,32.0
49,49,49,49,49,49,49,49,49,0649,0.1882580306170009,3.47598685404012,51,162515,45.77369986978317,142436.22393885267,394,721119,388.7736998697832,701040.2239388525,63,184911,49.81202509520642,150294.5759832709,406,743515,392.81202509520654,708898.5759832707,0.19579749201670127,264.0,0.1514801999231065,0.18555165925936198,2.730360762204141e-05,3.455429478047365e-05,58.0,46.0,261.0,225.0,0.10229276895943562,0.15831292676417635,2.1745241740436885e-05,3.138321910738189e-05,84.0,54.0,274.0,235.0
50,50,50,50,50,50,50,50,50,0610,0.4865148947749984,4.321563753515972,38,78184,36.70717566979139,75346.38690883668,401,699950,399.7071756697914,697112.3869088364,42,83648,37.53015666801133,76641.514152197,405,705414,400.5301566680113,698407.5141521968,0.327358902715746,104.0,0.2777008310249308,0.2966470299254765,0.00011450679163559406,0.00012279422344142784,21.0,19.0,51.0,48.0,0.2295918367346939,0.2843639025601296,0.00010081680998715644,0.00011889969782163083,23.0,17.0,51.0,47.0
