,geoid,perim (b),w_perim (b),area (b),w_area (b),a/p^2 (b) 0.5,w_a/p^2 (b) 0.5,rank_a/p^2 (b) 0.5,rank_w_a/p^2 (b) 0.5,a/p^2 (b) 0.1,w_a/p^2 (b) 0.1,rank_a/p^2 (b) 0.1,rank_w_a/p^2 (b) 0.1
82,0905,779,49274,14157,714820,0.02332901039975875,0.00029441576193369986,104.0,89.0,0.02332901039975875,0.00029441576193369986,104.0,89.0
83,0901,616,39440,11786,714820,0.03106025468038455,0.00045953953729494873,164.0,142.0,0.03106025468038455,0.00045953953729494873,164.0,142.0
84,09ZZ,81,0,91,0,0.013869836915104405,,43.0,,0.013869836915104405,,43.0,
85,0903,489,36708,11509,714819,0.04813044441935255,0.0005304868728382492,262.0,160.0,0.04813044441935255,0.0005304868728382492,262.0,160.0
86,0902,511,19896,18536,714819,0.07098624775487226,0.0018057787709600175,325.0,295.0,0.07098624775487226,0.0018057787709600175,325.0,295.0
87,1000,412,14593,24115,897934,0.14206687717975303,0.004216530550922366,411.0,363.0,0.14206687717975303,0.004216530550922366,411.0,363.0
88,1198,257,22649,6507,601723,0.09851776711229542,0.0011730014488499656,375.0,256.0,0.09851776711229542,0.0011730014488499656,375.0,256.0
89,1204,878,50340,13197,696345,0.017119307184998003,0.0002747881746199739,63.0,83.0,0.017119307184998003,0.0002747881746199739,63.0,83.0
90,1224,409,36790,10523,696345,0.06290612801214722,0.0005144757226815936,305.0,156.0,0.06290612801214722,0.0005144757226815936,305.0,156.0
91,1220,946,80249,11329,696345,0.012659288693016997,0.00010812975102600478,34.0,20.0,0.012659288693016997,0.00010812975102600478,34.0,20.0
92,1213,261,11534,16998,696345,0.24952657770731493,0.005234371798260578,427.0,371.0,0.24952657770731493,0.005234371798260578,427.0,371.0
93,1210,896,61027,21721,696345,0.027056012834821428,0.00018697365559652515,134.0,52.0,0.027056012834821428,0.00018697365559652515,134.0,52.0
94,1202,402,4447,37084,696345,0.2294745179574763,0.03521196022878255,426.0,421.0,0.2294745179574763,0.03521196022878255,426.0,421.0
95,1201,371,3024,27822,696345,0.2021345384006219,0.0761484184723272,421.0,430.0,0.2021345384006219,0.0761484184723272,421.0,430.0
96,1212,358,42004,12817,696344,0.10000468150182579,0.00039467765419124107,378.0,121.0,0.10000468150182579,0.00039467765419124107,378.0,121.0
97,1225,596,37388,11124,696344,0.03131615692986802,0.0004981491227366344,165.0,154.0,0.03131615692986802,0.0004981491227366344,165.0,154.0
98,1211,446,19111,28227,696345,0.14190412033220054,0.0019065914300143772,410.0,299.0,0.14190412033220054,0.0019065914300143772,410.0,299.0
