,geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1,cpolsby,rank_cpolsby,dpolsby_0.5,dpolsby_pro_0.5,dpop_polsby_0.5,dpop_polsby_pro_0.5,rank_dpolsby_0.5,rank_dpolsby_pro_0.5,rank_dpop_polsby_0.5,rank_dpop_polsby_pro_0.5,dpolsby_0.1,dpolsby_pro_0.1,dpop_polsby_0.1,dpop_polsby_pro_0.1,rank_dpolsby_0.1,rank_dpolsby_pro_0.1,rank_dpop_polsby_0.1,rank_dpop_polsby_pro_0.1
10,0401,14.10903287525817,25.427509899185427,53,203058,49.172679933157816,187731.84815001336,174,722757,170.1726799331579,707430.8481500135,62,245191,51.79789794359532,200652.0705814884,183,764890,172.7978979435954,720351.0705814884,0.2742202013014177,173.0,0.0619437522249911,0.07037883636043296,1.7528796450637218e-05,2.0072805776592213e-05,170.0,163.0,244.0,231.0,0.04760665972944849,0.0644041990867262,1.2723011897847287e-05,1.789191863731418e-05,202.5,174.0,253.0,239.0
11,0408,0.1375695638865003,2.1750452952728248,27,134363,22.400484041105546,109568.70225306736,157,692256,152.40048404110559,667461.7022530673,44,206315,27.125781816386684,130299.57741970966,174,764208,157.12578181638668,688192.5774197096,0.36542277678589763,278.0,0.21536351165980797,0.30371870579001425,3.834487660715659e-05,5.559725068996635e-05,398.0,405.0,371.0,389.0,0.08987603305785125,0.21354181179897327,1.7953534941929772e-05,4.053442061163415e-05,357.0,396.0,326.0,378.0
12,0409,0.043536984584498256,1.318443842638782,37,140159,32.491188662246216,123477.3782216892,169,670183,164.49118866224626,653501.3782216893,59,216296,38.330350129370686,142986.19187729983,191,746320,170.33035012937063,673010.1918772998,0.3147349248251353,230.0,0.12344777209642074,0.15581578037415006,3.411547533493657e-05,4.2861928614463376e-05,333.5,333.0,354.0,361.0,0.05486929043378339,0.115932837752462,1.5952476150495828e-05,3.291800004083944e-05,241.0,314.0,306.0,349.0
13,0403,3.879468990128795,12.988316303558149,54,235378,48.523492727264525,208011.2606640749,153,652630,147.52349272726445,625263.2606640749,71,317703,54.348426924503286,237092.65361727012,170,734955,153.3484269245032,654344.6536172697,0.2889857552404187,197.0,0.05246913580246913,0.06265519389236288,1.177972893115983e-05,1.4450711108465663e-05,136.0,147.0,143.0,152.0,0.033723467565959134,0.051916495496838154,7.2814541171364655e-06,1.1640465912937498e-05,112.0,122.0,115.0,130.0
14,0402,1.9494652367543857,6.741147841772827,37,163777,34.79426293114481,153962.1641806337,178,706736,175.79426293114474,696921.1641806335,47,202049,38.482720347719706,167798.45007260534,188,745008,179.48272034771966,710757.450072605,0.5390855060501789,398.0,0.13002191380569758,0.14520762283200292,2.63482266664309e-05,2.9400562470843427e-05,341.0,320.0,322.0,304.0,0.0851063829787234,0.1211967890130711,1.824935525797988e-05,2.5243265239941344e-05,348.0,326.0,329.0,307.0
15,0404,8.52228419533693,24.58758866088973,60,264616,55.580110622541675,248469.3182820153,156,707223,151.5801106225417,691076.3182820155,73,334319,59.47641585089097,267720.2420875273,169,776926,155.4764158508909,710327.2420875273,0.17714708029253878,75.0,0.043333333333333335,0.04906857050257103,1.0100065161216124e-05,1.1193875544109948e-05,91.0,88.0,101.0,93.0,0.03171326702946144,0.043951625519541286,6.951164035962613e-06,9.910511110167668e-06,104.0,89.0,104.0,89.0
16,0406,0.15549251127749972,1.7951469018415618,26,97504,20.37935918457632,76878.41667304147,178,728033,172.3793591845763,707407.4166730415,42,169096,25.203731129122108,97691.9765734518,194,799625,177.20373112912208,728220.9765734519,0.6063443762654721,413.0,0.26331360946745563,0.4150536279388788,7.657838449807625e-05,0.0001196907940132178,409.0,417.0,418.0,426.0,0.10997732426303855,0.27896080399836237,2.796531367156802e-05,7.630366377891514e-05,374.0,408.0,382.0,419.0
17,0502,1.302303999674997,6.976111849077794,32,151914,31.26696496309889,147516.31215337073,168,729192,167.26696496309884,724794.3121533708,32,151914,31.26696496309889,147516.31215337073,168,729192,167.26696496309884,724794.3121533708,0.3362756092649012,256.0,0.1640625,0.17109555339339347,3.1597032510660765e-05,3.3306936051724924e-05,375.0,348.0,350.0,327.0,0.1640625,0.17109555339339347,3.1597032510660765e-05,3.3306936051724924e-05,405.0,374.0,392.0,351.0
18,0501,5.0767174991469535,19.46387360674883,59,218544,58.28828422508862,216205.7746569075,194,728022,193.2882842250886,725683.7746569073,62,235182,59.0992070355121,220217.82894156704,197,744660,194.09920703551208,729695.828941567,0.1683969842798575,60.0,0.05573111174949727,0.056890924035567496,1.5242869378745039e-05,1.5524328864420768e-05,150.0,114.0,206.0,175.0,0.05124869927159209,0.055572566423149394,1.346324866912077e-05,1.5046549224766398e-05,225.0,140.0,265.0,202.0
19,0504,5.762896931493668,14.15087924711117,58,249186,54.79305142481105,233165.15275826238,184,739457,180.7930514248111,723436.1527582627,61,262935,55.89338385130979,238285.22090066536,187,753206,181.89338385130986,728556.2209006655,0.3616461668558198,277.0,0.054696789536266346,0.060218614749328894,1.1908735434260484e-05,1.3306778249421578e-05,148.0,138.0,150.0,130.0,0.05025530771298038,0.058223203381176855,1.0894742517838884e-05,1.2831246750636879e-05,221.0,155.0,222.0,154.0
