,geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1,cpolsby,rank_cpolsby,dpolsby_0.5,dpolsby_pro_0.5,dpop_polsby_0.5,dpop_polsby_pro_0.5,rank_dpolsby_0.5,rank_dpolsby_pro_0.5,rank_dpop_polsby_0.5,rank_dpop_polsby_pro_0.5,dpolsby_0.1,dpolsby_pro_0.1,dpop_polsby_0.1,dpop_polsby_pro_0.1,rank_dpolsby_0.1,rank_dpolsby_pro_0.1,rank_dpop_polsby_0.1,rank_dpop_polsby_pro_0.1
10,0407,0.051599034866000065,1.2553100840562317,49,204300,47.71303718596878,198149.21124002157,169,710995,167.71303718596874,704844.2112400215,51,209456,48.32312132756347,199432.71512216626,171,716151,168.32312132756348,706127.7151221662,0.4114806406269956,401.0,0.07038733860891296,0.07367034415609958,1.7034516581697134e-05,1.79518182020008e-05,308.0,302.0,319.0,311.0,0.0657439446366782,0.07208316019818944,1.6323714547050384e-05,1.7753764464688442e-05,324.0,308.0,336.0,320.0
11,0403,3.89413838548834,14.058958377905155,74,315206,71.1705164834274,301002.32897788286,167,708802,164.17051648342746,694598.3289778831,85,370008,74.38878622062786,317085.7751827272,178,763604,167.38878622062794,710681.7751827274,0.24757965565920131,275.0,0.03049671292914536,0.032411186471167815,7.1340472724067225e-06,7.666444964601717e-06,96.0,93.0,115.0,113.0,0.02463667820069204,0.03024902739074813,5.577582033289976e-06,7.068408808382248e-06,94.0,93.0,107.0,106.0
12,0408,0.13636276902999964,2.881252177710365,41,197088,39.26682194492785,186821.92134488877,158,697688,156.2668219449278,687421.9213448889,47,222811,40.961558711599345,194449.22061138586,164,723411,157.9615587115993,695049.220611386,0.20641589341582597,202.0,0.09399167162403331,0.1013480211970896,1.796142910759552e-05,1.9695531673146813e-05,354.0,354.0,325.0,329.0,0.0742417383431417,0.09414526051706312,1.4571754730148856e-05,1.838243957915073e-05,345.0,353.0,319.0,327.0
13,0405,0.07384901485699981,1.3362331050861365,51,207391,50.722497561728105,206183.7553708432,172,710445,171.72249756172815,709237.7553708436,51,207391,50.722497561728105,206183.7553708432,172,710445,171.72249756172815,709237.7553708436,0.5197447556643534,427.0,0.0661284121491734,0.06674610639973029,1.6517740949678116e-05,1.6683338274104907e-05,291.0,272.0,311.0,292.0,0.0661284121491734,0.06674610639973029,1.6517740949678116e-05,1.6683338274104907e-05,325.0,292.0,337.0,308.0
14,0401,14.111646865389517,29.1661413434026,55,213569,52.60426126363634,204285.0362229396,170,708303,167.60426126363637,699019.0362229396,67,267282,56.044835923855544,220360.72155609218,182,762016,171.04483592385557,715094.721556092,0.20846330161160045,205.0,0.05619834710743802,0.060567995938833004,1.5528970071055508e-05,1.6750041641788112e-05,250.0,248.0,301.0,294.0,0.04054355090220539,0.054455125420573514,1.0666566998565641e-05,1.4726352803449979e-05,214.0,237.0,254.0,282.0
15,0402,1.9492456660089832,7.2155173762948275,48,207123,44.881895528541335,193948.1279449463,181,714903,177.88189552854138,701728.1279449464,58,241715,47.173295713154786,202328.01221946927,191,749495,180.17329571315483,710108.0122194694,0.47048034788622045,419.0,0.07855902777777778,0.08830582813049365,1.6664430016535653e-05,1.865510514034768e-05,329.0,336.0,313.0,320.0,0.056777645659928655,0.08096512393879125,1.2828076341952531e-05,1.7346520881855846e-05,296.0,326.0,299.0,316.0
16,0406,0.1583684472094999,2.474218723300392,36,153790,34.35321660351539,146729.05468696193,173,715068,171.35321660351536,708007.0546869619,39,162797,35.200704273744094,149563.96736156516,176,724075,172.20070427374404,710841.9673615652,0.3250890523182947,349.0,0.13348765432098766,0.14519693402465003,3.0233689565499522e-05,3.288556788909892e-05,391.0,390.0,383.0,386.0,0.11571334648257725,0.13897357129230783,2.73206330308536e-05,3.1777454573253934e-05,394.0,392.0,396.0,391.0
17,0502,1.3046380683134982,8.148447249102839,33,154150,32.990868956285645,154101.96713036962,168,729192,167.99086895628562,729143.9671303695,33,154150,32.990868956285645,154101.96713036962,168,729192,167.99086895628562,729143.9671303695,0.2469165464548271,274.0,0.15426997245179064,0.1543469909361531,3.0687028538681515e-05,3.070413887280778e-05,403.0,397.0,386.0,380.0,0.15426997245179064,0.1543469909361531,3.0687028538681515e-05,3.070413887280778e-05,413.0,404.0,404.0,386.0
18,0503,1.4353207291453898,11.328738754950109,46,245610,45.00140447089032,240425.45628351218,140,720383,139.00140447089026,715198.4562835121,51,273888,46.558904528284636,250100.5976520645,145,748661,140.5589045282846,724873.5976520642,0.14053862405087028,115.0,0.0661625708884688,0.06863838433597538,1.1941843223666514e-05,1.2372733838998971e-05,292.0,281.0,238.0,224.0,0.05574778931180315,0.0648414707429798,9.980198991711055e-06,1.15886493586911e-05,292.0,284.0,234.0,228.0
19,0504,5.764096614512041,16.02956560422484,59,251577,56.894866487891285,239606.94055479614,184,738321,181.89486648789125,726350.9405547959,61,261981,57.849405195251286,244572.2563441282,186,748725,182.84940519525122,731316.2563441279,0.2819016442945791,312.0,0.05285837403045102,0.05619197247418292,1.1665499873279753e-05,1.2651665923351724e-05,234.0,225.0,233.0,235.0,0.0499865627519484,0.05463812106439414,1.0908944780550465e-05,1.2226181732684329e-05,264.0,238.0,261.0,239.0
20,0501,5.081393119255043,22.252513394080992,63,234085,62.84463522589107,233670.86035908392,194,728022,193.844635225891,727607.8603590842,64,237344,63.343943277957294,235298.1053007677,195,731281,194.34394327795727,729235.1053007679,0.12895391061812406,93.0,0.04887881078357269,0.04908144797815063,1.3286094367266388e-05,1.3325645846159898e-05,211.0,194.0,266.0,252.0,0.047607421875,0.04843516899569716,1.298158660871471e-05,1.3171362641630803e-05,249.0,202.0,302.0,262.0
21,0626,0.24110454095012684,3.7574202032699313,34,155401,31.34155665616896,141568.41068663087,148,715887,145.3415566561689,702054.4106866308,42,187076,32.83051356082542,148063.15336997903,156,747562,146.8305135608254,708549.1533699791,0.2146029667699104,215.0,0.12802768166089964,0.14796148497988146,2.964400362637992e-05,3.502983237816085e-05,385.0,392.0,382.0,391.0,0.08843537414965986,0.13622630126640253,2.1360482892165174e-05,3.232034548024762e-05,372.0,388.0,374.0,392.0
22,0618,0.18399145622299776,3.1386671681325686,50,240403,47.667063882845014,229869.91814965126,151,693447,148.66706388284504,682913.9181496511,65,312333,52.01402746261348,250760.525829566,166,765377,153.0140274626135,703804.5258295661,0.23470210877774017,257.0,0.0604,0.06543015675603038,1.199868101476941e-05,1.2924140825837984e-05,268.0,267.0,241.0,243.0,0.03928994082840237,0.05655751000912121,7.845843877293595e-06,1.1192670312909477e-05,200.0,246.0,185.0,218.0
23,0636,1.5094029422779929,7.534793096113572,22,107049,20.921862751816466,100226.88025124224,167,682675,165.9218627518165,675852.8802512423,27,134243,22.327185760164944,108048.41295486076,172,709869,167.32718576016498,683674.4129548608,0.33409685995615696,356.0,0.3450413223140496,0.37905560008507916,5.9572903790401946e-05,6.727965321298578e-05,433.0,435.0,428.0,428.0,0.23593964334705075,0.33565918476507156,3.9390810141035156e-05,5.856154715269865e-05,430.0,432.0,418.0,428.0
24,0616,0.7575795876900003,6.0504592280672025,42,197368,41.39076139200112,195182.48796348853,139,704810,138.39076139200108,702624.4879634886,45,212843,41.93429005125084,198095.2666420288,142,720285,138.93429005125083,705537.2666420289,0.2600527502036467,284.0,0.07879818594104308,0.08077933393630361,1.8093333020360763e-05,1.8443425365959526e-05,330.0,316.0,328.0,317.0,0.07012345679012345,0.07900796149395041,1.5899579090127198e-05,1.7979257865319252e-05,331.0,323.0,333.0,322.0
25,0612,0.010795226192499865,0.6797643305096697,34,139080,30.02806306939821,123367.21228264664,170,684261,166.02806306939826,668548.2122826467,42,184019,32.09228817565585,134534.87913889124,178,729200,168.09228817565588,679715.8791388914,0.29357891873579145,322.0,0.14705882352941177,0.18413097914764184,3.537467216464761e-05,4.3927170479223127e-05,401.0,407.0,405.0,414.0,0.10090702947845805,0.1632098713457275,2.1533832339040995e-05,3.7554123482304094e-05,388.0,406.0,375.0,407.0
