geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
2603,0.7692738388114976,6.040005668242532,61,290435,59.771198138184786,283754.46900932735,161,708529,159.7711981381848,701848.4690093275,66,315359,60.76474512238279,288646.42672286293,166,733453,160.76474512238283,706740.4267228631
2611,0.12540513800199862,2.952735143993614,81,302218,79.49852335901477,296742.0034741946,192,706982,190.49852335901485,701506.0034741941,83,308540,80.11715761907023,298677.44794163236,194,713304,191.1171576190703,703441.447941632
2604,2.5051430688954963,9.033560777305757,60,253209,59.126377119393425,248801.22817829682,180,701902,179.12637711939345,697494.2281782966,62,263868,59.62562198313418,251486.9911565682,182,712561,179.6256219831342,700179.9911565679
2606,1.0300565170421188,4.880296369797231,44,180907,41.632827889971736,172251.3492933836,171,706878,168.6328278899718,698222.3492933835,45,182427,41.9132189346428,172677.54368128366,172,708398,168.91321893464283,698648.5436812837
2605,0.6939982753363154,6.959368300548831,58,230305,55.26325953723095,220102.3046384981,209,694470,206.26325953723102,684267.3046384981,64,258284,57.22047079999232,229392.76083254788,215,722449,208.2204707999924,693557.7608325479
2607,1.2161868986820679,7.582629290471829,59,248785,58.137196721302956,246315.25534984833,175,706980,174.13719672130296,704510.2553498484,59,248785,58.137196721302956,246315.25534984833,175,706980,174.13719672130296,704510.2553498484
2610,1.2083653338615492,5.750039353089354,69,264306,61.214709907812185,240458.95699291467,170,691187,162.2147099078122,667339.9569929146,79,303500,64.37362635655813,253190.74383603252,180,730381,165.37362635655813,680071.7438360323
2602,0.9859079132423059,5.5383752824207315,60,260728,53.94592562908091,237765.17131445566,154,703347,147.9459256290809,680384.1713144558,67,298971,55.6986351675691,246094.28742877571,161,741590,149.69863516756908,688713.2874287758
2613,0.05288754283579141,1.8550576977965303,86,252777,81.97537629296257,242249.5397537358,270,706345,265.9753762929625,695817.5397537358,98,284103,84.84278766303805,248306.4579798627,282,737671,268.842787663038,701874.4579798627
2612,0.11954042369725335,2.5468351935711535,53,216107,52.22362834698517,212660.22911527575,196,702769,195.2236283469852,699322.2291152757,60,238319,53.93956390283712,218001.172493809,203,724981,196.93956390283714,704663.172493809
2609,0.052054607904092214,1.7884236731002001,66,250418,60.16369851285224,230915.73306774418,206,704592,200.16369851285222,685089.7330677441,72,262728,61.86257894702009,234827.7779848899,212,716902,201.8625789470201,689001.7779848897
2608,0.4382785943160018,4.096550095498154,52,180235,50.76120543753484,176260.9694458086,209,709158,207.76120543753487,705183.9694458088,52,180235,50.76120543753484,176260.9694458086,209,709158,207.76120543753487,705183.9694458088
2601,7.821240932079917,39.835459407863894,107,334417,95.07465670099342,297439.4601064468,214,680708,202.07465670099353,643730.4601064475,121,364898,99.8123859559285,308203.2267182983,228,711189,206.81238595592862,654494.2267182987
2614,0.05503657538204788,2.5007970752420343,99,308084,93.15893069496919,293909.3219270262,238,704614,232.15893069496923,690439.3219270261,114,353405,96.38679002051977,302440.63672675274,253,749935,235.38679002051975,698970.6367267529
