geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
2403,0.08720712652609837,6.193143045879396,136,565633,120.6414916601711,504482.69638673874,174,704507,158.64149166017106,643356.696386739,175,736861,133.04085563259449,558093.793108617,213,875735,171.04085563259449,696967.7931086172
2404,0.08517770233837678,3.3664766233058048,85,372265,79.93486715433274,344084.89115496643,173,721007,167.9348671543327,692826.8911549662,96,424652,83.30301739156691,360706.8400866532,184,773394,171.30301739156684,709448.840086653
2408,0.23546640542488012,5.912506815799139,79,330093,75.31005438193999,314713.9170225596,172,704312,168.31005438193992,688932.9170225594,97,414987,81.70443478993828,344918.2590123059,190,789206,174.70443478993826,719137.2590123056
2407,0.13376399297999989,4.2564356181696335,77,298798,71.37479428291469,275044.0489365238,199,708211,193.37479428291456,684457.048936524,101,391479,79.42712362648899,305194.0187598599,223,800892,201.42712362648888,714607.0187598603
2406,0.5397461572934598,9.62638906777049,81,375130,76.82353106138883,355303.37397619244,166,735117,161.82353106138876,715290.3739761927,91,417409,79.51121962877083,366940.66357555846,176,777396,164.51121962877073,726927.6635755585
2402,0.10988078950448155,5.467270133838921,105,447396,92.85110692258277,401840.723883513,180,712735,167.85110692258274,667179.7238835128,145,604348,105.21971967634303,450782.2701085342,220,869687,180.21971967634298,716121.2701085338
2405,0.43280157684611986,4.725090756368331,67,321463,61.10831634315866,292655.76480145415,153,728601,147.10831634315872,699793.7648014544,78,371936,63.98769047398662,307501.09069699,164,779074,149.9876904739867,714639.0906969903
2401,1.1906030190618853,14.71384315390948,86,367810,77.28012132060176,332528.64200522745,170,733457,161.2801213206017,698175.6420052275,93,398824,79.47257587636604,342081.91390840284,177,764471,163.47257587636597,707728.913908403
