geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
2501,0.6785062593656197,5.288185726980522,46,195063,45.242716778524446,192165.36782147374,174,729379,173.2427167785245,726481.3678214739,47,198023,45.497209612177166,192918.6666090858,175,732339,173.49720961217722,727234.6666090859
2503,0.22317028714150783,3.3687994988830585,52,263665,50.59807366239259,256715.63694419616,156,724078,154.59807366239258,717128.6369441962,55,279426,51.290064751173304,260528.21158899117,159,739839,155.2900647511733,720941.2115889911
2502,0.4858597852953911,4.519101303381496,47,239448,46.47998405512834,237373.97057281667,159,721383,158.47998405512837,719308.9705728168,51,258627,47.59735990805195,243232.5182007866,163,740562,159.59735990805197,725167.5182007867
2506,0.16110376644948984,2.6720027145165437,58,295422,52.89264043600774,269566.79948633263,147,725575,141.89264043600775,699719.7994863323,63,324565,53.96822053100476,275776.1471244753,152,754718,142.9682205310048,705929.1471244751
2508,0.09835080971682048,2.961813436351003,66,284366,60.71906108848091,262633.21565292444,160,683570,154.71906108848088,661837.2156529241,91,398102,67.64828339552263,294037.0133727028,185,797306,161.64828339552258,693241.0133727025
2507,0.019498037941297952,1.3991635270781695,68,259388,59.09378252958275,227352.08089878946,198,749949,189.09378252958274,717913.0808987892,96,369030,65.95066453723696,255494.52907043617,226,859591,195.950664537237,746055.5290704359
2504,0.1971203386405565,3.4530923286632564,70,386571,66.33916181954072,367406.82215062506,136,708140,132.3391618195407,688975.8221506255,80,428813,68.76810865268841,378007.29339906364,146,750382,134.7681086526884,699576.2933990641
2505,0.07921809543299672,2.2290643042123404,72,344654,65.84449078648642,315697.43811223214,154,726025,147.84449078648638,697068.4381122321,87,390829,69.33305352233516,325680.62069311476,169,772200,151.33305352233515,707051.6206931147
2509,0.37870517916032814,8.628785210671646,92,377913,83.80122943795425,345747.753486958,172,715775,163.8012294379542,683609.7534869582,98,403170,85.92231871609002,355287.799598818,178,741032,165.92231871609,693149.7995988183
