geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
1802,1.1155414657929978,5.516949777960115,70,102123,68.1087412955099,98595.5642548087,577,722885,575.1087412955096,719357.5642548087,80,117503,70.86310891251915,102689.16949994303,587,738265,577.863108912519,723451.169499943
1801,0.3905008476054997,2.9579297896186896,42,66844,40.65343753714949,64338.163793454725,495,720500,493.65343753714956,717994.1637934546,45,72123,41.56848670528668,66145.849328247,498,725779,494.5684867052868,719801.8493282469
1808,1.9759321620990042,10.689037422190236,94,105976,93.33648509270978,105385.3272161833,643,720412,642.3364850927098,719821.3272161834,96,108362,94.05765985517736,106249.13898648441,645,722798,643.0576598551773,720685.1389864845
1803,1.1750412840595008,5.205059901450605,57,67650,55.588480629834464,66056.9574263352,570,717402,568.5884806298344,715808.9574263353,63,76880,57.011317871666485,68166.61042093034,576,726632,570.0113178716664,717918.6104209304
1806,1.6941433820124923,6.615634193866152,96,136205,95.49377197764002,134796.7945358892,566,721311,565.49377197764,719902.7945358893,97,137882,95.64955136313671,135058.03656536713,567,722988,565.6495513631368,720164.0365653672
1809,1.2199796719329958,6.449623583277729,82,117596,81.09305061646079,116419.8701954533,495,718734,494.09305061646074,717557.8701954533,86,123923,82.57525661939798,118996.76476045664,499,725061,495.575256619398,720134.7647604565
1807,0.08321401106849989,1.4378371074120204,68,152090,66.14990905183504,149240.06969575738,512,716572,510.149909051835,713722.0696957572,76,165307,68.43276748753529,153335.2674302239,520,729789,512.4327674875351,717817.2674302238
1804,1.7521857008840016,7.09942936098347,85,128549,83.62451554850753,126626.80563222097,521,721549,519.6245155485076,719626.8056322208,86,129153,84.04042402883462,126878.01435433852,522,722153,520.0404240288347,719878.0143543384
1805,0.5320531318699993,4.4293382603331075,78,131477,74.72647165611227,126593.65629336737,435,724437,431.7264716561123,719553.6562933672,88,146735,77.43927674777618,130529.67079898091,445,739695,434.4392767477762,723489.6707989807
