geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
0903,0.1387194304767501,2.3591427705943535,81,113797,67.47347893134024,95156.03548418435,524,709286,510.4734789313402,690645.0354841845,114,159151,76.33757378079994,107131.43146452501,557,754640,519.3375737807999,702620.4314645249
0905,0.3529125432699901,3.9727179472327885,117,171263,107.17246209547106,156456.22098858625,481,683311,471.172462095471,668504.2209885864,138,203914,113.37509427295447,165914.99694291607,502,715962,477.3750942729544,677962.9969429163
0904,0.13335911280741508,2.307370807216809,73,104924,63.7602468812295,93260.86883264278,508,706589,498.7602468812295,694925.8688326431,92,132328,69.02201110880733,100332.59785986987,527,733993,504.0220111088072,701997.5978598702
0902,0.5734778197628531,3.8841282798325194,77,112961,67.99523617207139,100903.29149188018,490,709332,480.9952361720713,697274.2914918803,92,132139,72.44849122362248,107215.93884983497,505,728510,485.4484912236224,703586.9388498352
0901,0.19743468714757834,3.189675827694504,82,130604,74.17293945356252,118500.79253186708,556,741176,548.1729394535629,729072.792531867,122,191649,84.39176916183591,134163.0272934311,596,802221,558.3917691618364,744735.0272934308
