geoid,carea,cperim,dperim_0.5,dpperim_0.5,dperim_pro_0.5,dpperim_pro_0.5,darea_0.5,dparea_0.5,darea_pro_0.5,dparea_pro_0.5,dperim_0.1,dpperim_0.1,dperim_pro_0.1,dpperim_pro_0.1,darea_0.1,dparea_0.1,darea_pro_0.1,dparea_pro_0.1
1226,0.543232194779928,7.708548084177927,27,134027,21.269221900193493,110403.9672173378,117,626539,111.26922190019349,602915.9672173378,52,217969,28.038801377143088,132952.6741996461,142,710481,118.03880137714309,625464.6741996461
1209,0.4566678886940004,3.394115898634574,30,191371,24.063335488113196,149221.80333340398,117,712316,111.0633354881132,670166.803333404,45,274969,28.54278469991319,176360.53110526837,132,795914,115.54278469991318,697305.5311052682
1217,1.651649555321581,7.326340050502845,63,227731,57.125427840107434,208555.1880022505,185,677798,179.12542784010742,658622.1880022504,85,315203,63.005626595844866,231996.88185495292,207,765270,185.0056265958449,682063.8818549527
1212,0.21627723965131046,2.3891042568513963,42,144621,38.06717288440043,131390.07175527926,175,644253,171.0671728844004,631022.0717552792,51,185916,40.64409917773446,143144.12937355327,184,685548,173.64409917773443,642776.1293735534
1213,0.05538422879116651,1.8549759816174443,39,129390,30.706355458729448,103904.65109826102,178,658642,169.70635545872943,633156.6510982609,57,198686,35.82780905803292,122242.53706484774,196,727938,174.82780905803287,651494.5370648478
1215,0.2093683818509966,2.2842204833305826,37,155871,30.55101901121527,130066.85345766957,187,766500,180.5510190112152,740695.8534576695,51,206514,34.062326643155636,141623.98972462313,201,817143,184.06232664315561,752252.989724623
1201,1.0836401420935513,5.67627204723991,28,122424,26.54601194503706,117846.36575146555,151,696442,149.5460119450371,691864.3657514655,30,130765,27.15203956614764,119283.17998627006,153,704783,150.15203956614766,693301.1799862699
1220,0.6348292829825,5.288741957113691,63,313538,49.49089544269289,247449.89253268653,162,735957,148.4908954426929,669868.8925326868,101,491220,59.740811241958376,295996.39596776385,200,913639,158.7408112419584,718415.3959677643
1222,0.04105035811457835,2.1614564083929406,66,243090,50.01731219967831,184532.37878265991,178,637683,162.0173121996783,579125.37878266,116,447423,66.03617816010261,249201.9477057167,228,842016,178.03617816010257,643794.9477057167
1208,0.4948859271849098,3.9218241341461737,39,188155,34.28096083864971,166445.02429326385,146,719326,141.28096083864978,697616.0242932639,42,234106,35.274474650172856,181653.3196304941,149,765277,142.2744746501729,712824.3196304942
1219,0.20854880897982297,3.9074781853439835,46,169937,37.76021180973084,141846.74006312402,183,686042,174.76021180973083,657951.7400631239,57,211999,41.52495526839305,155429.3441487617,194,728104,178.524955268393,671534.3441487615
1207,0.1361000961064994,2.204146035729883,35,166353,28.586512272791484,139307.69354229278,135,642620,128.58651227279148,615574.6935422928,49,244306,32.50626771417748,161605.9221283352,149,720573,132.50626771417748,637872.9221283352
1202,2.181737876799858,9.975966325896726,40,176529,36.90371129531335,166446.6111547411,161,691856,157.90371129531334,681773.6111547414,45,190306,38.24638134991078,169548.68023920173,166,705633,159.24638134991076,684875.6802392019
1214,0.070086970673443,2.155514646837155,64,232192,54.44312165922029,197621.59918876196,186,671860,176.4431216592203,637289.599188762,84,314551,59.224786238099476,217034.49023564425,206,754219,181.22478623809948,656702.4902356443
1206,0.6863717411706873,5.076817855004412,48,177028,39.45306520414807,146235.09256302583,163,707669,154.4530652041481,676876.0925630257,60,236991,42.141609016781445,157903.73625541173,175,767632,157.14160901678147,688544.7362554114
1203,1.7912919395696307,7.225703222823798,38,223114,35.39412386460632,207139.59470470616,133,686905,130.3941238646063,670930.594704706,47,271655,38.720035564040714,224541.79224419195,142,735446,133.72003556404073,688332.7922441919
1211,0.6323403374634105,4.461290801755817,32,168333,30.051463292340124,156297.13109224153,143,691187,141.05146329234017,679151.1310922415,38,193380,32.2113443786666,166267.82299794207,149,716234,143.21134437866667,689121.8229979421
1224,0.03231206564298443,0.8864273204722839,40,182197,31.626925998743943,146385.4542972613,183,801778,174.62692599874393,765966.4542972613,59,279556,36.99189970986706,174085.441321588,202,899137,179.99189970986708,793666.4413215881
1227,0.058310386483778856,2.0543350992313862,37,176707,29.904704737523947,143653.42019087615,157,738167,149.90470473752393,705113.4201908761,63,323712,36.69188680868832,182277.12626631922,183,885172,156.69188680868828,743737.1262663191
1218,0.3992823165598189,3.0592034257349376,26,96545,21.578736783575515,81731.26735566258,144,675787,139.5787367835755,660973.2673556625,39,160653,25.717894638600402,100919.65180205305,157,739895,143.71789463860037,680161.6518020531
1204,0.48216785411494434,5.075336420351972,60,320630,51.53889030804634,282425.81377544923,132,708477,123.53889030804636,670272.8137754494,74,403628,55.82785279201917,309330.65268610726,146,791475,127.82785279201919,697177.6526861073
1205,0.37276307975000217,8.05584618848589,72,396402,58.52282496612165,322931.1270385926,141,690794,127.52282496612165,617323.1270385924,118,627521,72.8732549763258,394693.31344240287,187,921913,141.87325497632585,689085.3134424029
1223,0.04284236515426316,1.037172239567836,26,142454,21.871601625853923,119434.86159325411,109,561173,104.87160162585391,538153.8615932543,38,203354,25.80323288174205,140135.69662280468,121,622073,108.80323288174206,558854.6966228047
1221,0.05924193591950176,1.4523132427579566,44,220267,36.85751486651935,188098.642427711,148,679579,140.85751486651935,647410.6424277109,60,300325,41.48252183074899,210544.78256797604,164,759637,145.482521830749,669856.7825679759
1210,0.3370285568595003,3.4426364099448086,41,215258,35.02326996839974,184170.76974754146,132,682792,126.02326996839975,651704.7697475414,68,350371,44.12164976114729,227588.50684416422,159,817905,135.1216497611473,695122.506844164
1216,0.22567464207647622,2.5483905232967503,29,126797,25.01833443874793,114674.3039361269,168,689335,164.0183344387479,677212.3039361266,32,135724,25.965449962394626,117468.27331596533,171,698262,164.96544996239462,680006.2733159652
1225,0.7699380224349694,5.2200379169948015,40,256759,33.111706104802224,214084.75036817562,124,730911,117.11170610480224,688236.7503681756,56,336605,37.4863094436977,236051.8578293064,140,810757,121.48630944369772,710203.8578293063
